observation_id	construct_group_id	union_component_id	random_pair_fold	bemis_murcko_scaffold	maximum_cross_construct_ecfp_tanimoto	maximum_cross_construct_full_sequence_identity	maximum_cross_construct_site_sequence_identity
RCSB-5EWH-5SG-KD	construct-002-cb5cf2af5e4a	union-ff2c39c882d3	random-03	c1ccc2cnccc2c1	0.2	0.29545454545454547	0.3333333333333333
RCSB-5C85-4YO-KD	construct-002-cb5cf2af5e4a	union-ff2c39c882d3	random-01	O=C1CNc2ccccc2N1	0.1836734693877551	0.29545454545454547	0.3333333333333333
RCSB-5O4S-9KW-KD	construct-002-cb5cf2af5e4a	union-ff2c39c882d3	random-05	O=c1[nH]c2cc(NS(=O)(=O)c3ccc4c(c3)CCCC4)c(N3CCOCC3)cc2[nH]c1=O	0.24096385542168675	0.29545454545454547	0.3333333333333333
RCSB-5EPR-5QY-KD	construct-002-cb5cf2af5e4a	union-ff2c39c882d3	random-03	O=C1CNc2ccccc2N1	0.22727272727272727	0.29545454545454547	0.3333333333333333
RCSB-5OV8-AXN-KD	construct-002-cb5cf2af5e4a	union-ff2c39c882d3	random-04	O=c1[nH]c2cc(NS(=O)(=O)c3ccccc3)c(N3CCCC3)cc2[nH]c1=O	0.20833333333333334	0.29545454545454547	0.3333333333333333
RCSB-5O55-9L5-KD	construct-002-cb5cf2af5e4a	union-ff2c39c882d3	random-02	O=C(NCc1cn[nH]c1)c1ccc2[nH]c(=O)cnc2c1	0.2159090909090909	0.29545454545454547	0.3333333333333333
RCSB-5D7X-XZ8-KD	construct-002-cb5cf2af5e4a	union-ff2c39c882d3	random-04	O=c1[nH][nH]cc1-c1c[nH]c2ccccc12	0.20634920634920634	0.29545454545454547	0.3333333333333333
RCSB-5O5A-9LN-KD	construct-002-cb5cf2af5e4a	union-ff2c39c882d3	random-02	O=C(NCc1cnn(-c2ccccc2)c1)c1ccc2[nH]c(=O)c(=O)[nH]c2c1	0.2716049382716049	0.29545454545454547	0.3333333333333333
RCSB-5EPS-5QX-KD	construct-002-cb5cf2af5e4a	union-ff2c39c882d3	random-01	O=C1CNc2ccccc2N1	0.21818181818181817	0.29545454545454547	0.3333333333333333
RCSB-4O76-1M3-KD	construct-003-fbf3f5c695a3	union-9c37703edc28	random-02	c1ccc(Nc2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)cc1	0.2159090909090909	0.29545454545454547	0.3333333333333333
RCSB-7MRA-ZMJ-KD	construct-003-fbf3f5c695a3	union-9c37703edc28	random-03	O=c1[nH]cc(-c2ccccc2)c2ccccc12	0.21333333333333335	0.29545454545454547	0.3333333333333333
RCSB-5D26-L28-KD	construct-003-fbf3f5c695a3	union-9c37703edc28	random-02	O=C(Nc1ccccc1)c1ccc[nH]1	0.18055555555555555	0.29545454545454547	0.3333333333333333
RCSB-5EGU-5NQ-KD	construct-003-fbf3f5c695a3	union-9c37703edc28	random-01	O=c1[nH]c(=O)c2[nH]c(CSc3nc4ncccn4n3)nc2[nH]1	0.18085106382978725	0.29545454545454547	0.3333333333333333
RCSB-6TPZ-NV2-KD	construct-003-fbf3f5c695a3	union-9c37703edc28	random-01	O=c1ccc(-c2nc3cc(N4CCOCC4)ccc3[nH]2)c[nH]1	0.24096385542168675	0.29545454545454547	0.3333333333333333
RCSB-6FO5-DZH-KD	construct-003-fbf3f5c695a3	union-9c37703edc28	random-04	O=C1CCCc2cc(S(=O)(=O)NCc3ccc(Cn4c(=O)[nH]c(=O)c5[nH]cnc54)cc3)ccc2N1	0.23655913978494625	0.29545454545454547	0.3333333333333333
RCSB-7AXR-S7T-KD	construct-003-fbf3f5c695a3	union-9c37703edc28	random-05	O=C(Nc1ccccc1)c1ccc[nH]1	0.26582278481012656	0.29545454545454547	0.3333333333333333
RCSB-6FSY-E5Q-KD	construct-003-fbf3f5c695a3	union-9c37703edc28	random-05	c1cncc(Cc2cccc(-c3cnoc3)c2)c1	0.2	0.29545454545454547	0.3333333333333333
RCSB-4PS5-2TA-KD	construct-003-fbf3f5c695a3	union-9c37703edc28	random-04	c1ccc(Nc2ccnc(Nc3ccc(OCCN4CCCC4)cc3)n2)cc1	0.22580645161290322	0.29545454545454547	0.3333333333333333
RCSB-7MR9-ZMM-KD	construct-003-fbf3f5c695a3	union-9c37703edc28	random-04	O=C1CCCN1c1cccc(-c2c[nH]c(=O)c3ccccc23)c1	0.21818181818181817	0.29545454545454547	0.3333333333333333
RCSB-5D3L-57F-KD	construct-003-fbf3f5c695a3	union-9c37703edc28	random-05	O=C(Nc1ccccc1)c1ccc[nH]1	0.1686746987951807	0.29545454545454547	0.3333333333333333
RCSB-6Q3Z-HG8-KD	construct-003-fbf3f5c695a3	union-9c37703edc28	random-03	O=C1CN(Cc2cccs2)c2nc(Nc3ccc(C4CCNCC4)cc3)ncc2N1	0.16666666666666666	0.29545454545454547	0.3333333333333333
RCSB-5EIS-5OU-KD	construct-003-fbf3f5c695a3	union-9c37703edc28	random-03	O=c1[nH]c(=O)n(Cc2ccccc2)c2nc[nH]c12	0.21518987341772153	0.29545454545454547	0.3333333333333333
RCSB-5D3T-56Y-KD	construct-003-fbf3f5c695a3	union-9c37703edc28	random-01	O=C(NCc1ccccc1)c1ccc[nH]1	0.2716049382716049	0.29545454545454547	0.3333333333333333
RCSB-6Q3Y-HG5-KD	construct-003-fbf3f5c695a3	union-9c37703edc28	random-02	O=C1CN(Cc2ccccc2)c2nc(Nc3ccc(C4CCNCC4)cc3)ncc2N1	0.17475728155339806	0.29545454545454547	0.3333333333333333
RCSB-5O1E-9GT-KD	construct-004-a02c0b37ee39	union-ab22dcc808e7	random-02	c1ccc(-n2cccc2)cc1	0.13846153846153847	0.20855614973262032	0.16666666666666666
RCSB-5O1G-9GK-KD	construct-004-a02c0b37ee39	union-ab22dcc808e7	random-01	c1ccc(CCOc2ccccc2-n2cccc2)cc1	0.16923076923076924	0.20855614973262032	0.16666666666666666
RCSB-4AGQ-P96-KD	construct-004-a02c0b37ee39	union-ab22dcc808e7	random-05	C(#Cc1cccc(CN2CCCCC2)c1)CNc1ccccc1	0.16853932584269662	0.20855614973262032	0.16666666666666666
RCSB-5AOJ-Y0V-KD	construct-004-a02c0b37ee39	union-ab22dcc808e7	random-05	c1ccc(-n2cccc2)cc1	0.16666666666666666	0.20855614973262032	0.16666666666666666
RCSB-5O1D-9GW-KD	construct-004-a02c0b37ee39	union-ab22dcc808e7	random-04	c1ccc(-n2cccc2)cc1	0.1566265060240964	0.20855614973262032	0.16666666666666666
RCSB-5O1C-9GZ-KD	construct-004-a02c0b37ee39	union-ab22dcc808e7	random-02	c1ccc(-c2ccccc2-n2cccc2)cc1	0.14285714285714285	0.20855614973262032	0.16666666666666666
RCSB-5O1I-9GH-KD	construct-004-a02c0b37ee39	union-ab22dcc808e7	random-03	c1cc(-n2cccc2)c2scnc2c1	0.1686746987951807	0.20855614973262032	0.16666666666666666
RCSB-5O1H-9GN-KD	construct-004-a02c0b37ee39	union-ab22dcc808e7	random-01	c1ccc(-n2cccc2)cc1	0.1566265060240964	0.20855614973262032	0.16666666666666666
RCSB-5O1B-9H2-KD	construct-004-a02c0b37ee39	union-ab22dcc808e7	random-03	c1ccc(-n2cccc2)cc1	0.16981132075471697	0.20855614973262032	0.16666666666666666
RCSB-6RQB-Q47-KD	construct-005-6f4aa0a92e90	union-d2018e21c41c	random-05	O=C1NC(Cc2ccccc2)C(=O)NC1Cc1ccccc1	0.19148936170212766	0.23755656108597284	0.16
RCSB-6RQ6-R2H-KD	construct-005-6f4aa0a92e90	union-d2018e21c41c	random-03	O=C1NC(Cc2ccccc2)C(=O)NC1Cc1ccccc1	0.19148936170212766	0.23755656108597284	0.16
RCSB-6RQ0-KE2-KD	construct-005-6f4aa0a92e90	union-d2018e21c41c	random-05	O=C1NC(Cc2ccccc2)C(=O)NC1Cc1ccccc1	0.21739130434782608	0.23755656108597284	0.16
RCSB-6RQ9-KEQ-KD	construct-005-6f4aa0a92e90	union-d2018e21c41c	random-04	O=C1NC(Cc2ccccc2)C(=O)NC1Cc1ccccc1	0.22727272727272727	0.23755656108597284	0.16
RCSB-6RQD-KEW-KD	construct-005-6f4aa0a92e90	union-d2018e21c41c	random-01	O=C1NC(Cc2ccccc2)C(=O)NC1Cc1ccccc1	0.19148936170212766	0.23755656108597284	0.16
RCSB-6RQ1-KE5-KD	construct-005-6f4aa0a92e90	union-d2018e21c41c	random-02	O=C1NC(Cc2ccccc2)C(=O)NC1Cc1ccccc1	0.2127659574468085	0.23755656108597284	0.16
RCSB-6RQ8-KEH-KD	construct-005-6f4aa0a92e90	union-d2018e21c41c	random-01	O=C1NC(Cc2ccccc2)C(=O)NC1Cc1ccccc1	0.19148936170212766	0.23755656108597284	0.16
RCSB-6RQ5-KEB-KD	construct-005-6f4aa0a92e90	union-d2018e21c41c	random-04	O=C1NC(Cc2ccccc2)C(=O)NC1Cc1ccccc1	0.2222222222222222	0.23755656108597284	0.16
