series_id	pdb_id	target_names	publication_id	ligand_count	nonempty_murcko_scaffold_count	pKd_range	protein_entity_id	protein_asym_ids	alignment_identity	alignment_entity_coverage	aligned_residues	druglike_ligand_entities	assay_ligand_entity_matches	resolution_angstrom	experimental_methods	within_series_metadata_rank
G3S-0c2b41bb223d8483	6D5J	Son of sevenless homolog 1	doi:10.1021/acs.jmedchem.8b01108	32	17	2.06694679	2	B	1	0.997925311	481	3	1	1.751	X-RAY DIFFRACTION	2
G3S-0c3aa3eea1cd9401	9GGU	GTPase KRas	pmid:40162713	14	8	3.05695257	1	A	0.99408284	0.98255814	169	2	1	1.6	X-RAY DIFFRACTION	1
G3S-0c3aa3eea1cd9401	9GGT	GTPase KRas	pmid:40162713	14	8	3.05695257	1	A	0.99408284	0.98255814	169	2	1	1.71	X-RAY DIFFRACTION	2
G3S-0d24eaa6dbc2665b	3HS4	Carbonic anhydrase 2	doi:10.1021/jm00039a023	24	16	2.84509804	1	A	1	1	260	2	1	1.1	X-RAY DIFFRACTION	1
G3S-0d24eaa6dbc2665b	3V2M	Carbonic anhydrase 2	doi:10.1021/jm00039a023	24	16	2.84509804	1	A	1	1	260	1	1	1.471	X-RAY DIFFRACTION	2
G3S-0d3a03dece105f57	4BLJ	Galectin-3	doi:10.1021/jm801077j	13	9	2.9015136	1	A	1	0.992753623	137	1	0	1.2	X-RAY DIFFRACTION	1
G3S-0d5679149226e010	1QPC	Tyrosine-protein kinase Lck	doi:10.1016/s0960-894x(99)00403-5	14	4	1.99270076	1	A	1	1	279	1	0	1.6	X-RAY DIFFRACTION	1
G3S-0d5679149226e010	6PDJ	Tyrosine-protein kinase Lck	doi:10.1016/s0960-894x(99)00403-5	14	4	1.99270076	1	A	1	0.989583333	285	2	0	1.81	X-RAY DIFFRACTION	2
G3S-0d6ea790d633fb5e	7Q6Q	Kelch-like ECH-associated protein 1	doi:10.1021/acs.jmedchem.1c01975	32	19	4.15842417	1	A;B	0.993079585	0.979661017	289	1	0	2.55	X-RAY DIFFRACTION	1
G3S-0db14b95f9edbd42	8IA5	Protein Mdm4	pmid:39185935	21	14	4.81023252	1	A	1	0.988888889	89	2	0	1.93	X-RAY DIFFRACTION	1
G3S-0db14b95f9edbd42	2N0W	Protein Mdm4	pmid:39185935	21	14	4.81023252	1	A	1	1	89	1	0	nan	SOLUTION NMR	2
G3S-0e7a45fa2fa81e87	5AJQ	Serine/threonine-protein kinase 10	doi:10.1038/nbt.1990	48	48	5.40952188	1	A;B	1	0.993220339	293	1	1	2.2	X-RAY DIFFRACTION	1
G3S-0e7a45fa2fa81e87	5OWR	Serine/threonine-protein kinase 10	doi:10.1038/nbt.1990	48	48	5.40952188	1	A	1	0.993377483	300	1	1	2.3	X-RAY DIFFRACTION	2
G3S-0ea60d28ec9de0d1	4YX4	Carbonic anhydrase 2	doi:10.1016/j.bmc.2013.01.008	31	18	3.21146035	1	A	1	1	260	2	1	1.01	X-RAY DIFFRACTION	1
G3S-0ea60d28ec9de0d1	6SD7	Carbonic anhydrase 2	doi:10.1016/j.bmc.2013.01.008	31	18	3.21146035	1	A	1	0.981132075	260	3	1	1.05	X-RAY DIFFRACTION	2
G3S-0f56c3503b93c6f6	6RWJ	Bromodomain-containing protein 4	doi:10.1021/acs.jmedchem.0c00478	10	9	2.69291468	1	A	0.992125984	1	127	1	1	1.4	X-RAY DIFFRACTION	1
G3S-0f56c3503b93c6f6	6S6K	Bromodomain-containing protein 4	doi:10.1021/acs.jmedchem.0c00478	10	9	2.69291468	1	A	0.992125984	1	127	2	1	1.4	X-RAY DIFFRACTION	2
G3S-123baf453e4557f4	5U12	Dihydropteroate synthase	doi:10.1021/jm501417f	12	7	1.67783499	1	A;B	1	0.992957746	282	1	1	1.839	X-RAY DIFFRACTION	1
G3S-133873650167b89b	7MS7	Ubiquitin carboxyl-terminal hydrolase 5	pmid:34648286	53	25	1.91994346	1	A;B	1	0.991735537	120	1	1	1.45	X-RAY DIFFRACTION	1
G3S-133873650167b89b	7MS6	Ubiquitin carboxyl-terminal hydrolase 5	pmid:34648286	53	25	1.91994346	1	A	1	0.991735537	120	1	1	1.55	X-RAY DIFFRACTION	2
G3S-1374f9d15f999eed	5ANV	Oxidized purine nucleoside triphosphate hydrolase	doi:10.1021/acs.jmedchem.5b01760	8	7	3.34242268	1	A	1	0.987341772	156	1	1	1.16	X-RAY DIFFRACTION	1
G3S-1374f9d15f999eed	5ANU	Oxidized purine nucleoside triphosphate hydrolase	doi:10.1021/acs.jmedchem.5b01760	8	7	3.34242268	1	A	1	0.987341772	156	1	1	1.8	X-RAY DIFFRACTION	2
G3S-158f366d0b3aab6a	5L4Q	AP2-associated protein kinase 1	doi:10.1021/acs.jmedchem.9b00136	8	3	1.32314431	1	A;B	1	0.979768786	339	1	1	1.97	X-RAY DIFFRACTION	1
G3S-162593d06eae2cfe	7NM2	Mixed lineage kinase domain-like protein	doi:10.1021/acs.jmedchem.1c00686	8	6	2.04359803	1	A	1	0.974522293	153	1	0	nan	SOLUTION NMR	1
G3S-162593d06eae2cfe	7NM4	Mixed lineage kinase domain-like protein	doi:10.1021/acs.jmedchem.1c00686	8	6	2.04359803	1	A	1	0.974522293	153	1	0	nan	SOLUTION NMR	2
G3S-16762270570b655a	1AZM	Carbonic anhydrase 1	doi:10.3109/14756366.2012.757223	43	5	3.82260651	1	A	1	1	260	1	1	2	X-RAY DIFFRACTION	1
G3S-16762270570b655a	3W6H	Carbonic anhydrase 1	doi:10.3109/14756366.2012.757223	43	5	3.82260651	1	A;B	1	1	260	2	1	2.964	X-RAY DIFFRACTION	2
G3S-17044cfb391f4718	3VQH	cAMP-dependent protein kinase catalytic subunit alpha	doi:10.1021/jm800797n	22	5	5.29534715	1	A	0.98005698	1	351	2	0	1.95	X-RAY DIFFRACTION	1
G3S-197e79eddc015708	8YG7	Albumin	doi:10.1021/acs.jmedchem.1c01791	18	7	2.71745341	1	A;B	1	1	581	2	1	2.09	X-RAY DIFFRACTION	1
G3S-197e79eddc015708	2BXK	Albumin	doi:10.1021/acs.jmedchem.1c01791	18	7	2.71745341	1	A	0.998290598	1	585	3	1	2.4	X-RAY DIFFRACTION	2
G3S-1a63362a8e320bf6	8R4Q	Serine/threonine-protein kinase SIK3 [59-1321]	doi:10.1038/nbt.1990	14	14	3.92830678	1	A;C;E;G;I;K	0.990825688	0.99695122	327	1	1	2.838	X-RAY DIFFRACTION	1
G3S-1b71410cb988afba	1Z11	Cytochrome P450 2A6	doi:10.1124/dmd.112.045161	9	8	2.83958895	1	A;B;C;D	1	0.978991597	466	1	1	2.05	X-RAY DIFFRACTION	1
G3S-1b71410cb988afba	3T3Q	Cytochrome P450 2A6	doi:10.1124/dmd.112.045161	9	8	2.83958895	1	A;B;C;D	0.991416309	0.978991597	466	1	0	2.1	X-RAY DIFFRACTION	2
G3S-1c0e277b223f8a0b	8B99	Tyrosine-protein kinase JAK2	doi:10.1038/nbt1358	10	10	3.14612804	1	A	0.989169675	0.958477509	277	2	1	1.6	X-RAY DIFFRACTION	1
G3S-1c0e277b223f8a0b	5USY	Tyrosine-protein kinase JAK2	doi:10.1038/nbt1358	10	10	3.14612804	1	A;B	1	0.92721519	293	2	1	2	X-RAY DIFFRACTION	2
G3S-1c80cc3e3508e1eb	5II2	Protein polybromo-1	doi:10.1021/acs.jmedchem.6b00355	8	5	2.47712125	1	A;B	1	0.983870968	122	2	1	2.1	X-RAY DIFFRACTION	1
G3S-1d6a948c781cf9b6	3IMG	Pantothenate synthetase	doi:10.1021/jm101121s	10	7	3.10689423	1	A;B	0.993333333	0.996677741	300	3	2	1.8	X-RAY DIFFRACTION	1
G3S-1d6a948c781cf9b6	3LE8	Pantothenate synthetase	doi:10.1021/jm101121s	10	7	3.10689423	1	A;B	0.993333333	1	300	2	1	1.7	X-RAY DIFFRACTION	2
G3S-1da601ed70459098	4KNN	Carbonic anhydrase 13	doi:10.1021/acs.jmedchem.5b01723	15	8	3.21427308	1	A;B	1	0.996197719	262	3	1	1.404	X-RAY DIFFRACTION	1
G3S-1da601ed70459098	5LLA	Carbonic anhydrase 13	doi:10.1021/acs.jmedchem.5b01723	15	8	3.21427308	1	A;B	1	0.996197719	262	2	1	1.5	X-RAY DIFFRACTION	2
G3S-1da6d0a5126035e0	4TQN	CREB-binding protein	doi:10.1021/acs.jmedchem.5b00172	9	5	2.21441664	1	A	1	0.983193277	117	1	1	1.7	X-RAY DIFFRACTION	1
G3S-1eca1a7c2461b4f9	5LL5	Carbonic anhydrase 12	doi:10.1021/acs.jmedchem.7b01408	15	8	3.34678749	1	A;B;C;D	1	0.996197719	262	1	1	1.42	X-RAY DIFFRACTION	1
G3S-1eca1a7c2461b4f9	4KP5	Carbonic anhydrase 12	doi:10.1021/acs.jmedchem.7b01408	15	8	3.34678749	1	A;B;C;D	1	0.996197719	262	1	1	1.45	X-RAY DIFFRACTION	2
G3S-1f6e9ae98fcbd583	4NBL	Caspase-6	doi:10.1021/acs.jmedchem.3c00590	23	22	4.1383027	1	A;B	0.996296296	0.957446809	270	1	1	1.756	X-RAY DIFFRACTION	1
G3S-1f6e9ae98fcbd583	8F97	Caspase-6	doi:10.1021/acs.jmedchem.3c00590	23	22	4.1383027	1	A;B;C;D	0.996587031	0.97993311	293	3	1	2.32	X-RAY DIFFRACTION	2
G3S-202cfb8f48e8667e	7AVL	Son of sevenless homolog 1	doi:10.1021/acs.jmedchem.0c01949	13	4	3.80843605	1	A;B	1	0.997946612	486	1	0	1.718	X-RAY DIFFRACTION	1
G3S-202cfb8f48e8667e	6SCM	Son of sevenless homolog 1	doi:10.1021/acs.jmedchem.0c01949	13	4	3.80843605	1	A	1	0.997946612	486	1	0	1.866	X-RAY DIFFRACTION	2
G3S-202ee41d5bfc94ab	4Z69	Albumin	doi:10.1021/jm7012826	11	10	2.84009487	1	A;B	1	1	585	3	1	2.187	X-RAY DIFFRACTION	1
G3S-202ee41d5bfc94ab	2BXF	Albumin	doi:10.1021/jm7012826	11	10	2.84009487	1	A;B	1	1	585	1	1	2.95	X-RAY DIFFRACTION	2
G3S-21fe6c72eaf35f5a	6PBI	Thiol:disulfide interchange protein DsbA	doi:10.1021/acs.jmedchem.0c00111	8	7	1.249001	1	A;B	1	1	189	1	1	1.9	X-RAY DIFFRACTION	1
G3S-21fe6c72eaf35f5a	6PG2	Thiol:disulfide interchange protein DsbA	doi:10.1021/acs.jmedchem.0c00111	8	7	1.249001	1	A;B	1	1	189	1	1	1.91	X-RAY DIFFRACTION	2
G3S-226cff22b3a4602b	9J6V	Sodium-dependent dopamine transporter	doi:10.1016/s0960-894x(98)00062-6	19	11	3.22530928	1	A	1	1	555	2	1	3.5	ELECTRON MICROSCOPY	1
G3S-2354cf7fdafa877f	4IA9	WD repeat-containing protein 5	doi:10.1021/acs.jmedchem.5b01630	14	10	1.38021124	1	A	1	0.996794872	311	1	1	1.66	X-RAY DIFFRACTION	1
G3S-237de531113c65a9	3B9L	Albumin	doi:10.1016/j.bmcl.2015.05.099	11	8	1.40201588	1	A	1	1	585	2	0	2.6	X-RAY DIFFRACTION	1
G3S-237de531113c65a9	3B9M	Albumin	doi:10.1016/j.bmcl.2015.05.099	11	8	1.40201588	1	A	1	1	585	3	0	2.7	X-RAY DIFFRACTION	2
G3S-23caf31f263f2dc4	5VGY	Carbonic anhydrase 2	doi:10.1021/acs.jmedchem.7b00606	9	7	2.56863624	1	A	1	1	260	1	0	1.39	X-RAY DIFFRACTION	1
G3S-245cbc82df72cf29	6FNM	Ephrin type-B receptor 4	doi:10.1038/nbt1358	8	8	3.91567911	1	A	0.989830508	0.993265993	295	1	1	1.157	X-RAY DIFFRACTION	1
G3S-250da33ec2756fd5	3HS4	Carbonic anhydrase 2	doi:10.3109/14756366.2012.757223	43	5	4.37145812	1	A	1	1	260	2	1	1.1	X-RAY DIFFRACTION	1
G3S-250da33ec2756fd5	5LL4	Carbonic anhydrase 2	doi:10.3109/14756366.2012.757223	43	5	4.37145812	1	A;B	1	1	260	4	1	1.12	X-RAY DIFFRACTION	2
G3S-26ebb6597af3437e	3G5D	Proto-oncogene tyrosine-protein kinase Src	doi:10.1038/nbt1358	18	18	4.41814339	1	A;B	0.989399293	0.98951049	283	2	1	2.2	X-RAY DIFFRACTION	1
G3S-26ebb6597af3437e	3QLG	Proto-oncogene tyrosine-protein kinase Src	doi:10.1038/nbt1358	18	18	4.41814339	1	A;B	0.989399293	0.98951049	283	1	1	2.75	X-RAY DIFFRACTION	2
G3S-2a143dedddd90694	4M5I	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	doi:10.1016/j.bmc.2014.02.022	14	7	1.56987531	1	A	1	0.981481481	159	2	1	1.08	X-RAY DIFFRACTION	1
G3S-2a143dedddd90694	4M5L	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	doi:10.1016/j.bmc.2014.02.022	14	7	1.56987531	1	A	1	0.981481481	159	3	1	1.094	X-RAY DIFFRACTION	2
G3S-2ab56c621d50b8ba	9R25	Mitogen-activated protein kinase 14	doi:10.1038/nbt1358	8	8	4.41406951	1	A	1	1	360	2	1	1.8	X-RAY DIFFRACTION	1
G3S-2ab56c621d50b8ba	3GCS	Mitogen-activated protein kinase 14	doi:10.1038/nbt1358	8	8	4.41406951	1	A	0.988857939	0.997222222	359	2	1	2.1	X-RAY DIFFRACTION	2
G3S-2b9565c8dc248e0b	6U6W	WD repeat-containing protein 5	doi:10.1021/acs.jmedchem.9b01411	71	9	3.38886035	1	A;B	1	1	311	1	1	1.2	X-RAY DIFFRACTION	1
G3S-2b9565c8dc248e0b	6U8B	WD repeat-containing protein 5	doi:10.1021/acs.jmedchem.9b01411	71	9	3.38886035	1	A;B	1	1	311	1	1	1.261	X-RAY DIFFRACTION	2
G3S-2c433f19c7979794	5BVW	Epithelial discoidin domain-containing receptor 1	doi:10.1038/nbt1358	24	23	4.01848341	1	A	1	0.984567901	319	1	1	1.94	X-RAY DIFFRACTION	1
G3S-2c433f19c7979794	6BSD	Epithelial discoidin domain-containing receptor 1	doi:10.1038/nbt1358	24	23	4.01848341	1	A	1	1	351	1	1	2.606	X-RAY DIFFRACTION	2
G3S-2dbb6ecb3aae7915	7XM2	Kelch-like ECH-associated protein 1	pmid:35687391	19	12	1.62911822	1	A	1	0.989726027	289	1	1	2.3	X-RAY DIFFRACTION	1
G3S-2dbb6ecb3aae7915	9J71	Kelch-like ECH-associated protein 1	pmid:35687391	19	12	1.62911822	1	A;B;C;D	1	1	288	1	1	2.993	X-RAY DIFFRACTION	2
G3S-3021d6a688e870ed	1HVI	Gag-Pol polyprotein [489-587]	doi:10.1021/jm0105833	11	8	4.34985778	1	A;B	0.98989899	1	99	1	0	1.8	X-RAY DIFFRACTION	1
G3S-3021d6a688e870ed	1HVK	Gag-Pol polyprotein [489-587]	doi:10.1021/jm0105833	11	8	4.34985778	1	A;B	0.98989899	1	99	1	0	1.8	X-RAY DIFFRACTION	2
G3S-3046f9edaa2c72bf	4BKT	von Hippel-Lindau disease tumor suppressor	doi:10.1021/ml400296c	8	8	3.51410482	3	C;F;I;L	1	0.987654321	160	3	0	2.35	X-RAY DIFFRACTION	1
G3S-3046f9edaa2c72bf	4AWJ	von Hippel-Lindau disease tumor suppressor	doi:10.1021/ml400296c	8	8	3.51410482	3	C;F;I;L	1	0.981595092	160	2	0	2.5	X-RAY DIFFRACTION	2
G3S-31c5deaefd112d8c	6QLR	Galectin-3	doi:10.1021/acs.jmedchem.7b01626	22	8	5.10983249	1	A	1	1	138	1	0	0.97	X-RAY DIFFRACTION	1
G3S-31c5deaefd112d8c	6QLN	Galectin-3	doi:10.1021/acs.jmedchem.7b01626	22	8	5.10983249	1	A	1	1	138	1	0	1	X-RAY DIFFRACTION	2
G3S-320a13ed3c3022cf	2F2U	Rho-associated protein kinase 2	doi:10.1016/j.bmcl.2012.03.101	12	6	5.33099322	1	A;B	0.982543641	0.997512438	401	1	1	2.4	X-RAY DIFFRACTION	1
G3S-3269f6b57b640fb6	1FCY	Retinoic acid receptor gamma	doi:10.1021/jm9502293	8	5	4.1638568	1	A	1	0.995762712	235	2	1	1.3	X-RAY DIFFRACTION	1
G3S-3269f6b57b640fb6	1FCX	Retinoic acid receptor gamma	doi:10.1021/jm9502293	8	5	4.1638568	1	A	1	1	235	2	0	1.47	X-RAY DIFFRACTION	2
G3S-32c08173ec26bea9	6FE0	Carbonic anhydrase 9	doi:10.1021/acs.jmedchem.7b01408	14	7	5.13621975	1	A;B;C;D	0.992217899	1	257	1	1	1.91	X-RAY DIFFRACTION	1
G3S-32c08173ec26bea9	6FE1	Carbonic anhydrase 9	doi:10.1021/acs.jmedchem.7b01408	14	7	5.13621975	1	A;B;C;D	0.992217899	1	257	1	1	1.95	X-RAY DIFFRACTION	2
G3S-34388e65af3203f8	5I6X	Sodium-dependent serotonin transporter	doi:10.1016/s0960-894x(98)00062-6	19	11	5.12410275	1	A	0.987179487	0.994535519	546	4	0	3.14	X-RAY DIFFRACTION	1
G3S-34388e65af3203f8	6VRH	Sodium-dependent serotonin transporter	doi:10.1016/s0960-894x(98)00062-6	19	11	5.12410275	1	A	1	1	630	3	0	3.3	ELECTRON MICROSCOPY	2
G3S-36aa31d3bfd96971	1CIL	Carbonic anhydrase 2	doi:10.1021/acs.jmedchem.5b00043	8	2	1.37161107	1	A	1	1	259	1	0	1.6	X-RAY DIFFRACTION	1
G3S-36aa31d3bfd96971	4K13	Carbonic anhydrase 2	doi:10.1021/acs.jmedchem.5b00043	8	2	1.37161107	1	A	0.980544747	1	257	1	0	1.6	X-RAY DIFFRACTION	2
G3S-376e479668e27e8e	2O3P	Serine/threonine-protein kinase pim-1	doi:10.1021/jm0504858	9	5	2.25181197	1	A	1	0.972696246	285	1	1	2.24	X-RAY DIFFRACTION	1
G3S-376e479668e27e8e	4LMU	Serine/threonine-protein kinase pim-1	doi:10.1021/jm0504858	9	5	2.25181197	1	A	1	0.956375839	285	2	1	2.38	X-RAY DIFFRACTION	2
G3S-38a11588e38c3bdc	2VKU	Lanosterol 14-alpha demethylase	doi:10.1128/aac.00311-07	13	13	2.41497335	1	A	0.99556541	0.991208791	451	1	1	1.95	X-RAY DIFFRACTION	1
G3S-38a11588e38c3bdc	1EA1	Lanosterol 14-alpha demethylase	doi:10.1128/aac.00311-07	13	13	2.41497335	1	A	1	0.991208791	451	1	1	2.21	X-RAY DIFFRACTION	2
G3S-3a221f3683b786e1	4MRH	CD44 antigen	doi:10.1021/jm5000276	11	8	3.29419057	1	A	1	0.993333333	149	1	1	1.12	X-RAY DIFFRACTION	1
G3S-3a221f3683b786e1	4MRF	CD44 antigen	doi:10.1021/jm5000276	11	8	3.29419057	1	A	1	0.993333333	149	2	1	1.55	X-RAY DIFFRACTION	2
G3S-3a4ac119455247b0	5T9Z	Peptidyl-prolyl cis-trans isomerase A	doi:10.1021/acs.jmedchem.6b01329	8	4	2.37358066	1	A	1	1	163	1	0	1.4	X-RAY DIFFRACTION	1
G3S-3a4ac119455247b0	5TA2	Peptidyl-prolyl cis-trans isomerase A	doi:10.1021/acs.jmedchem.6b01329	8	4	2.37358066	1	A	1	1	163	1	0	1.48	X-RAY DIFFRACTION	2
G3S-3aac8f4c8810a918	5ETT	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	doi:10.1021/acs.jmedchem.6b00002	48	6	2.58357659	1	A;B	0.993670886	0.98136646	158	2	1	1.55	X-RAY DIFFRACTION	1
G3S-3aac8f4c8810a918	5ETV	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	doi:10.1021/acs.jmedchem.6b00002	48	6	2.58357659	1	A	0.993670886	0.98136646	158	2	1	1.72	X-RAY DIFFRACTION	2
G3S-3bfb2092ea669ef8	6UE6	Histone-lysine N-methyltransferase NSD2	doi:10.1021/acs.jmedchem.0c01768	13	10	1.78446797	1	A;B;C;D;E;F;G;H	1	0.992907801	140	1	1	2.4	X-RAY DIFFRACTION	1
G3S-3c0a0829e923c91d	6S17	Dual specificity tyrosine-phosphorylation-regulated kinase 1A	pmid:36876904	33	29	3.61008784	1	A	1	0.994459834	359	1	1	1.1	X-RAY DIFFRACTION	1
G3S-3c0a0829e923c91d	7O7K	Dual specificity tyrosine-phosphorylation-regulated kinase 1A	pmid:36876904	33	29	3.61008784	1	A;B	1	0.994459834	359	3	1	1.82	X-RAY DIFFRACTION	2
G3S-3c840aaf07c196c4	1RML	Fibroblast growth factor 1	doi:10.1021/jm030447t	18	13	5.88169184	1	A	1	1	155	1	1	nan	SOLUTION NMR	1
G3S-3ca3d879e4e8435d	9OS6	Epidermal growth factor receptor	doi:10.1038/nbt.1990	12	12	4.57022545	1	A	1	1	327	1	1	2.75	X-RAY DIFFRACTION	1
G3S-3ca3d879e4e8435d	4I22	Epidermal growth factor receptor	doi:10.1038/nbt.1990	12	12	4.57022545	1	A	0.990853659	0.996960486	328	1	0	1.71	X-RAY DIFFRACTION	2
G3S-3da15c929579feff	4NRA	Bromodomain adjacent to zinc finger domain protein 2B	doi:10.1021/jm401582c	8	2	1.93826948	1	A	1	0.982905983	115	1	1	1.85	X-RAY DIFFRACTION	1
G3S-3e5852180ea6848b	5H2U	Protein-tyrosine kinase 6	doi:10.1038/nbt1358	10	9	2.94041431	1	A;B;C;D	0.996183206	0.981273408	262	2	1	2.24	X-RAY DIFFRACTION	1
G3S-3f9407e3bd4a47f8	5NZP	D-3-phosphoglycerate dehydrogenase	doi:10.1021/acs.jmedchem.6b01167	8	7	4.71321044	1	A;B	1	1	204	1	1	1.3	X-RAY DIFFRACTION	1
G3S-3f9407e3bd4a47f8	5N53	D-3-phosphoglycerate dehydrogenase	doi:10.1021/acs.jmedchem.6b01167	8	7	4.71321044	1	A;B	1	1	195	1	1	1.48	X-RAY DIFFRACTION	2
G3S-40a467bbafdc73d8	4KP5	Carbonic anhydrase 12	doi:10.1016/j.bmc.2013.09.029	43	6	2.3643425	1	A;B;C;D	1	0.996197719	262	1	1	1.45	X-RAY DIFFRACTION	1
G3S-40a467bbafdc73d8	1JD0	Carbonic anhydrase 12	doi:10.1016/j.bmc.2013.09.029	43	6	2.3643425	1	A;B	1	0.996197719	262	1	1	1.5	X-RAY DIFFRACTION	2
G3S-40aaf3872e7ba482	4Z1F	Heat shock protein 75 kDa, mitochondrial	pmid:37307624	26	4	2.00432137	1	A	1	1	502	1	1	2.703	X-RAY DIFFRACTION	1
G3S-4273fdd1b3b53cb7	5VC3	Wee1-like protein kinase	doi:10.1038/nbt.1990	16	16	1.99383969	1	A	1	0.98615917	285	1	1	1.97	X-RAY DIFFRACTION	1
G3S-430a406ff1fdb9e6	5L4Q	AP2-associated protein kinase 1	pmid:33970631	9	8	7.25527251	1	A;B	1	0.979768786	339	1	1	1.97	X-RAY DIFFRACTION	1
G3S-43586287a9be2906	1NO6	Tyrosine-protein phosphatase non-receptor type 1 [1-298]	doi:10.1021/jm0205696	10	6	1.1903317	1	A	1	0.92834891	298	1	1	2.4	X-RAY DIFFRACTION	1
G3S-43586287a9be2906	1ONZ	Tyrosine-protein phosphatase non-receptor type 1 [1-298]	doi:10.1021/jm0205696	10	6	1.1903317	1	A	1	0.92834891	298	1	1	2.4	X-RAY DIFFRACTION	2
G3S-441b618a57261680	4UGK	Nitric oxide synthase oxygenase	doi:10.1021/acs.biochem.5b00431	22	19	2.72153583	1	A	0.991735537	1	363	2	1	1.62	X-RAY DIFFRACTION	1
G3S-441b618a57261680	4UG7	Nitric oxide synthase oxygenase	doi:10.1021/acs.biochem.5b00431	22	19	2.72153583	1	A	0.991735537	1	363	3	1	1.76	X-RAY DIFFRACTION	2
G3S-449b0375368ffc0f	5EQP	Choline kinase alpha	doi:10.1021/acs.jmedchem.5b01552	20	11	4.79934055	1	A;B	0.98714653	0.970074813	389	1	1	2.35	X-RAY DIFFRACTION	1
G3S-449b0375368ffc0f	5EQE	Choline kinase alpha	doi:10.1021/acs.jmedchem.5b01552	20	11	4.79934055	1	A;B	0.98714653	0.970074813	389	1	1	2.4	X-RAY DIFFRACTION	2
G3S-45df1c88b560ec4f	5Y80	Cyclin-G-associated kinase	doi:10.1038/nbt1068	13	12	3.38021124	1	A	1	0.993610224	311	1	1	2.5	X-RAY DIFFRACTION	1
G3S-45df1c88b560ec4f	5Y7Z	Cyclin-G-associated kinase	doi:10.1038/nbt1068	13	12	3.38021124	1	A;B	1	0.993610224	311	1	1	2.804	X-RAY DIFFRACTION	2
G3S-46586ac6273ff065	4E93	Tyrosine-protein kinase Fes/Fps	doi:10.1038/nbt.1990	20	20	3.18799048	1	A	1	0.99469496	375	1	1	1.84	X-RAY DIFFRACTION	1
