series_id_1	series_id_2	relations	full_sequence_identity	local_site_identity	maximum_cross_ligand_tanimoto
G3S-6fbd681c38d3a2a2	G3S-c3ad4039ad41a0e6	exact_nonempty_scaffold	0.20776699	0.166666667	0.233766234
G3S-6fbd681c38d3a2a2	G3S-eb73c8235716ab91	exact_nonempty_scaffold	0.203187251	0.260869565	0.166666667
G3S-72740991b3279a1e	G3S-8337edc867d47bcc	ligand_tanimoto;local_site_identity	0.165134603	0.588235294	0.35443038
G3S-72740991b3279a1e	G3S-8afbd56096fe1b47	ligand_tanimoto	0.179503916	0.347826087	0.479452055
G3S-72740991b3279a1e	G3S-9236ab9d73532a9d	exact_nonempty_scaffold	0.140327869	0.125	0.254545455
G3S-72740991b3279a1e	G3S-a0b462ec59730874	exact_nonempty_scaffold	0.104727511	0.0625	0.24
G3S-72740991b3279a1e	G3S-b47e17893c82aca6	exact_nonempty_scaffold	0.0577427822	0.263157895	0.176470588
G3S-72740991b3279a1e	G3S-b4e4bb5af0b8b2c1	exact_nonempty_scaffold	0.0705380577	0.108108108	0.29787234
G3S-72740991b3279a1e	G3S-c3ad4039ad41a0e6	exact_nonempty_scaffold	0.0823761076	0.133333333	0.192307692
G3S-72740991b3279a1e	G3S-de0a2a7c1887af78	local_site_identity	0.165134603	0.555555556	0.234375
G3S-72740991b3279a1e	G3S-eb73c8235716ab91	exact_nonempty_scaffold	0.0590938936	0.142857143	0.210526316
G3S-72740991b3279a1e	G3S-fb6b9c4b9d6641a2	local_site_identity	0.187459177	0.611111111	0.256097561
G3S-743b25bd8ed06539	G3S-fb6b9c4b9d6641a2	exact_nonempty_scaffold;exact_target_sequence;full_sequence_identity;ligand_tanimoto	1	0.217391304	1
G3S-743b25bd8ed06539	G3S-fb7593ab116f7278	ligand_tanimoto	0.0994879298	0.222222222	0.362318841
G3S-7ad16b5be174b17e	G3S-dd8aacb779840031	ligand_tanimoto	0.214452214	0.212121212	0.361111111
G3S-7ad16b5be174b17e	G3S-fb7593ab116f7278	ligand_tanimoto	0.207920792	0.0769230769	0.413793103
G3S-7d63354277860a98	G3S-a0b462ec59730874	ligand_tanimoto	0.212	0.260869565	0.382352941
G3S-7d63354277860a98	G3S-be927832aa68b7af	ligand_tanimoto	0.12568306	0.130434783	0.392156863
G3S-7d63354277860a98	G3S-e9de90d69aed4dc3	ligand_tanimoto	0.201884253	0.0869565217	0.355555556
G3S-8337edc867d47bcc	G3S-8afbd56096fe1b47	exact_nonempty_scaffold;ligand_tanimoto	0.222963952	0.47826087	0.721311475
G3S-8337edc867d47bcc	G3S-a0b462ec59730874	exact_nonempty_scaffold;ligand_tanimoto	0.171171171	0.0588235294	0.361111111
G3S-8337edc867d47bcc	G3S-b47e17893c82aca6	exact_nonempty_scaffold	0.127467105	0.2	0.255319149
G3S-8337edc867d47bcc	G3S-de0a2a7c1887af78	exact_target_sequence;full_sequence_identity;local_site_identity	1	0.944444444	0.209876543
G3S-8afbd56096fe1b47	G3S-c3ad4039ad41a0e6	ligand_tanimoto	0.135811294	0.242424242	0.378378378
G3S-8afbd56096fe1b47	G3S-fb6b9c4b9d6641a2	ligand_tanimoto	0.217700258	0.434782609	0.376470588
G3S-8fb4021f4421ad5b	G3S-9236ab9d73532a9d	exact_nonempty_scaffold;ligand_tanimoto	0.209807074	0.352941176	0.373134328
G3S-8fb4021f4421ad5b	G3S-a0b462ec59730874	exact_nonempty_scaffold	0.192465192	0.117647059	0.22972973
G3S-9236ab9d73532a9d	G3S-a0b462ec59730874	exact_nonempty_scaffold	0.219101124	0	0.291666667
G3S-9236ab9d73532a9d	G3S-b47e17893c82aca6	exact_nonempty_scaffold;ligand_tanimoto	0.160839161	0.166666667	0.617647059
G3S-9236ab9d73532a9d	G3S-b4e4bb5af0b8b2c1	exact_nonempty_scaffold;ligand_tanimoto	0.170533643	0.108108108	0.358974359
G3S-9236ab9d73532a9d	G3S-c3ad4039ad41a0e6	exact_nonempty_scaffold	0.197916667	0.1875	0.220338983
G3S-9236ab9d73532a9d	G3S-eb73c8235716ab91	exact_nonempty_scaffold	0.148837209	0.142857143	0.24137931
G3S-a0b462ec59730874	G3S-b47e17893c82aca6	exact_nonempty_scaffold	0.211111111	0.111111111	0.263157895
G3S-a0b462ec59730874	G3S-b4e4bb5af0b8b2c1	exact_nonempty_scaffold;ligand_tanimoto	0.232600733	0.135135135	0.369565217
G3S-a0b462ec59730874	G3S-c3ad4039ad41a0e6	exact_nonempty_scaffold;ligand_tanimoto	0.211111111	0.266666667	0.40625
G3S-a0b462ec59730874	G3S-e9de90d69aed4dc3	ligand_tanimoto	0.223613596	0.227272727	0.351351351
G3S-a0b462ec59730874	G3S-eb73c8235716ab91	exact_nonempty_scaffold	0.190298507	0.238095238	0.235294118
G3S-a0b462ec59730874	G3S-fb7593ab116f7278	ligand_tanimoto	0.181146026	0.0769230769	0.355555556
G3S-a0eeacac2c679281	G3S-fffc85fa1583cd07	exact_target_sequence;full_sequence_identity;ligand_tanimoto;local_site_identity	1	0.882352941	0.887323944
G3S-b47e17893c82aca6	G3S-b4e4bb5af0b8b2c1	exact_nonempty_scaffold	0.239193084	0.135135135	0.268292683
G3S-b47e17893c82aca6	G3S-c3ad4039ad41a0e6	exact_nonempty_scaffold	0.193627451	0.133333333	0.219512195
G3S-b47e17893c82aca6	G3S-e7f816aed727534b	ligand_tanimoto	0.225589226	0.157894737	0.36
G3S-b47e17893c82aca6	G3S-e9de90d69aed4dc3	exact_nonempty_scaffold	0.203960396	0.0869565217	0.192307692
G3S-b47e17893c82aca6	G3S-eb73c8235716ab91	exact_nonempty_scaffold	0.213286713	0.142857143	0.24
G3S-b4e4bb5af0b8b2c1	G3S-c3ad4039ad41a0e6	exact_nonempty_scaffold	0.202933985	0.162162162	0.320987654
G3S-b4e4bb5af0b8b2c1	G3S-e7f816aed727534b	exact_nonempty_scaffold	0.238505747	0.135135135	0.291666667
G3S-b4e4bb5af0b8b2c1	G3S-eb73c8235716ab91	exact_nonempty_scaffold	0.208695652	0.162162162	0.291666667
G3S-be927832aa68b7af	G3S-e7f816aed727534b	ligand_tanimoto	0.204545455	0.0833333333	0.356164384
G3S-be927832aa68b7af	G3S-fb7593ab116f7278	ligand_tanimoto	0.213178295	0.142857143	0.363636364
G3S-c3ad4039ad41a0e6	G3S-eb73c8235716ab91	exact_nonempty_scaffold	0.241293532	0.133333333	0.204081633
G3S-c3ad4039ad41a0e6	G3S-fb7593ab116f7278	exact_nonempty_scaffold;ligand_tanimoto	0.2	0.212121212	0.369230769
G3S-e7f816aed727534b	G3S-eb73c8235716ab91	exact_nonempty_scaffold;full_sequence_identity;ligand_tanimoto;local_site_identity	0.599236641	0.636363636	1
G3S-e7f816aed727534b	G3S-eea0596469e3b875	exact_nonempty_scaffold;full_sequence_identity;ligand_tanimoto;local_site_identity	0.599236641	0.636363636	1
G3S-eb73c8235716ab91	G3S-eea0596469e3b875	exact_nonempty_scaffold;exact_target_sequence;full_sequence_identity;ligand_tanimoto;local_site_identity;shared_reference_structure_publication	1	1	0.743589744
