audit_id	series_id	observation_id	affinity_extreme	source_replicate_index	consensus_pKd	consensus_source_Kd_nM	ligand_inchikey	canonical_smiles	publication_id	target_class	publication_era	site_reference_pdb_id	site_reference_ligand_comp_id	bindingdb_BindingDB Reactant_set_id	bindingdb_BindingDB Ligand Name	bindingdb_Target Name	bindingdb_Kd (nM)	bindingdb_pH	bindingdb_Temp (C)	bindingdb_Curation/DataSource	bindingdb_Article DOI	bindingdb_PMID	bindingdb_Authors	bindingdb_Institution	bindingdb_Date of publication	bindingdb_PDB ID(s) for Ligand-Target Complex
G3AUD-011	G3S-1f6e9ae98fcbd583	G3S-1f6e9ae98fcbd583-L0014	highest_pKd	1	7.09691001301	80	OJJZLXTYPOUKMM-UHFFFAOYSA-N	Oc1cc(F)ccc1CNc1ncccc1-c1nccnn1	doi:10.1021/acs.jmedchem.3c00590	protease	2017-2023	4NBL	2J6	51550687	CHEMBL5419962	Caspase-6	 80			ChEMBL	10.1021/acs.jmedchem.3c00590	37406165	n/a	n/a	7/27/2023	
G3AUD-012	G3S-3c840aaf07c196c4	G3S-3c840aaf07c196c4-L0011	lowest_pKd	1	2.22621355502	5940000	PLNXJVVXWRBDGB-UHFFFAOYSA-L	CO[C@@H]1CCO[C@H](COS(=O)(=O)[O-])C1OS(=O)(=O)[O-]	doi:10.1021/jm030447t	extracellular_growth_factor	2000-2009	1RML	NTS	50820664	(2R,3R,4R)-4-methoxy-2-[(sulfonatooxy)methyl]tetrahydro-2H-pyran-3-yl sulfate	Fibroblast growth factor 1	 5940000			ChEMBL	10.1021/jm030447t	15027859	Bytheway, I; Cochran, S	Progen Industries	3/18/2004	
G3AUD-013	G3S-3c840aaf07c196c4	G3S-3c840aaf07c196c4-L0008	highest_pKd	1	8.10790539731	7.8	KVYDWRMFMRIGNW-UHFFFAOYSA-N	O=S(=O)(O)OC[C@@H]1O[C@H](OS(=O)(=O)O)[C@H](OC2O[C@@H](COS(=O)(=O)O)[C@@H](S(=O)(=O)O)[C@H](O[C@H]3O[C@@H](COS(=O)(=O)O)[C@@H](OS(=O)(=O)O)[C@H](OS(=O)(=O)O)[C@H]3OS(=O)(=O)O)[C@H]2OS(=O)(=O)O)[C@@H](OS(=O)(=O)O)[C@@H]1OS(=O)(=O)O	doi:10.1021/jm030447t	extracellular_growth_factor	2000-2009	1RML	NTS	51033418	CHEMBL2303816	Fibroblast growth factor 1	 7.8			ChEMBL	10.1021/jm030447t	15027859	Bytheway, I; Cochran, S	Progen Industries	3/18/2004	
G3AUD-014	G3S-441b618a57261680	G3S-441b618a57261680-L0009	lowest_pKd	1	3.62525165399	237000	IGLNPZZNPBQOMM-UHFFFAOYSA-N	Cc1cc(N)nc(COc2cncc(CNCCc3cccc(F)c3)c2)c1	doi:10.1021/acs.biochem.5b00431	oxidoreductase_enzyme	2010-2016	4UG7	1EV	293348	CHEMBL2414437::US9732037, Compound 5	Nitric oxide synthase oxygenase	 2.37e+5			Curated from the literature by BindingDB	10.1021/acs.biochem.5b00431	26062720	Holden, JK; Dejam, D; Lewis, MC; Huang, H; Kang, S; Jing, Q; Xue, F; Silverman, RB; Poulos, TL	University of California Irvine	7/7/2015	4JSJ,4JSM,4UGB
G3AUD-015	G3S-441b618a57261680	G3S-441b618a57261680-L0020	highest_pKd	1	6.34678748622	450	WKAYHKZPKWNKSL-UHFFFAOYSA-N	Cc1cc(N)nc(CCCCCO[C@H]2CNC[C@H]2Cc2cc(C)cc(N)n2)c1	doi:10.1021/acs.biochem.5b00431	oxidoreductase_enzyme	2010-2016	4UG7	1EV	293345	6-(5-{[(3R,4R)-4-[(6-amino-4-methylpyridin-2-yl)methyl]pyrrolidin-3-yl]oxy}pentyl)-4-methylpyridin-2-amine (4)	Nitric oxide synthase oxygenase	 4.5e+2			Curated from the literature by BindingDB	10.1021/acs.biochem.5b00431	26062720	Holden, JK; Dejam, D; Lewis, MC; Huang, H; Kang, S; Jing, Q; Xue, F; Silverman, RB; Poulos, TL	University of California Irvine	7/7/2015	4CWY,4EUX,4UGW,4UG8,4CX2
G3AUD-016	G3S-6454ff7a6533168a	G3S-6454ff7a6533168a-L0009	lowest_pKd	1	3.8416375079	144000	XEFQLINVKFYRCS-UHFFFAOYSA-N	Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl	doi:10.1021/jm0700159	soluble_transport_protein	2000-2009	4ABV	FT2	50404361	CHEMBL849::TCL::5-chloro-2-(2,4-dichlorophenoxy)phenol::Triclosan::US20230414581, Compound 35	Transthyretin	 144000	4.4000		ChEMBL	10.1021/jm0700159	17948976	Gupta, S; Chhibber, M; Sinha, S; Surolia, A	Institute of Sciences	11/8/2007	1C14,1D7O,1D8A,1NHG,1P45,1QG6,1QSG,1UH5,2B35,2O2S,2O2Y,2PD3,2QIO,2WYW,3AM3,3AM5,3F4B,3GR6,3NRC,3OID,3OIF,3P9T,3PJD,3PJE,3PJF,4ALI,4ALL,4M89,4NR0,4W9N,5IFL,5YCS,6AH9,7FCM,9L5X
G3AUD-017	G3S-6454ff7a6533168a	G3S-6454ff7a6533168a-L0008	highest_pKd	1	9.69897000434	0.2	MRLRZVCXQWUIBP-UHFFFAOYSA-N	COc1cc(C(=O)O)ccc1Oc1ccc(Cl)cc1Cl	doi:10.1021/jm0700159	soluble_transport_protein	2000-2009	4ABV	FT2	50404368	4-(2,4-dichlorophenoxy)-3-methoxybenzoic acid::CHEMBL438498	Transthyretin	 0.2	4.4000		ChEMBL	10.1021/jm0700159	17948976	Gupta, S; Chhibber, M; Sinha, S; Surolia, A	Institute of Sciences	11/8/2007	
G3AUD-018	G3S-7258bf496c1f8d25	G3S-7258bf496c1f8d25-L0001	lowest_pKd	1	5.04619200233	8991	AHFNDPZJODGJTG-UHFFFAOYSA-N	Cc1ccc(CN2CCC(N3Cc4cccc(C(N)=O)c4C3=O)CC2)cc1	doi:10.1021/acs.jmedchem.5b00680	nucleotide_processing_enzyme	2010-2016	4ZZY	D7N	50399078	US8877944, 31	Poly [ADP-ribose] polymerase 2	 8991			ChEMBL	10.1021/acs.jmedchem.5b00680	26222319	Papeo, G; Posteri, H; Borghi, D; Busel, AA; Caprera, F; Casale, E; Ciomei, M; Cirla, A; Corti, E; D'Anello, M; Fasolini, M; Forte, B; Galvani, A; Isacchi, A; Khvat, A; Krasavin, MY; Lupi, R; Orsini, P; Perego, R; Pesenti, E; Pezzetta, D; Rainoldi, S; Riccardi-Sirtori, F; Scolaro, A; Sola, F; Zuccotto, F; Felder, ER; Donati, D; Montagnoli, A	Nerviano Medical Sciences	9/10/2015	
G3AUD-019	G3S-7258bf496c1f8d25	G3S-7258bf496c1f8d25-L0006	highest_pKd	1	9.55284196866	0.28	FDLYAMZZIXQODN-UHFFFAOYSA-N	O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1	doi:10.1021/acs.jmedchem.5b00680	nucleotide_processing_enzyme	2010-2016	4ZZY	D7N	50393426	4-({3-[(4-cyclopropanecarbonylpiperazin-1-yl)carbonyl]-4-fluorophenyl}methyl)-1,2-dihydrophthalazin-1-one::Acylpiperazine analogue, 47::US9255106, AZD2281::Olaparib::US9187430, AZD-2281::US10174023, AZD2281::US10597399, Compound AZD2281	Poly [ADP-ribose] polymerase 2	 0.280000			ChEMBL	10.1021/acs.jmedchem.5b00680	26222319	Papeo, G; Posteri, H; Borghi, D; Busel, AA; Caprera, F; Casale, E; Ciomei, M; Cirla, A; Corti, E; D'Anello, M; Fasolini, M; Forte, B; Galvani, A; Isacchi, A; Khvat, A; Krasavin, MY; Lupi, R; Orsini, P; Perego, R; Pesenti, E; Pezzetta, D; Rainoldi, S; Riccardi-Sirtori, F; Scolaro, A; Sola, F; Zuccotto, F; Felder, ER; Donati, D; Montagnoli, A	Nerviano Medical Sciences	9/10/2015	3U9Y,4TKG,4TVJ,5DS3,7AAD,7KK4,7KKO,8HLJ
G3AUD-020	G3S-82d2cb1cb942342d	G3S-82d2cb1cb942342d-L0012	lowest_pKd	1	4.13966199343	72500	LHXWUVBOCOFXIJ-UHFFFAOYSA-N	COC(=O)c1c(O)cc(O)c(Cl)c1CCc1nccn1Cc1ccc(C)cc1OC	doi:10.1021/acs.jmedchem.6b00085	molecular_chaperone	2010-2016	5VYY	9QY	50496302	CHEMBL3805792	Heat shock protein HSP 90-alpha	 72500			ChEMBL	10.1021/acs.jmedchem.6b00085	27003516	Crowley, VM; Khandelwal, A; Mishra, S; Stothert, AR; Huard, DJ; Zhao, J; Muth, A; Duerfeldt, AS; Kizziah, JL; Lieberman, RL; Dickey, CA; Blagg, BS	The University of Kansas	4/15/2016	
G3AUD-021	G3S-82d2cb1cb942342d	G3S-82d2cb1cb942342d-L0007	highest_pKd	1	6.61978875829	240	FNMCPKMNNWNMIZ-UHFFFAOYSA-N	COC(=O)c1c(O)cc(O)c(Cl)c1CCc1nccn1Cc1ccccc1OC(C)C	doi:10.1021/acs.jmedchem.6b00085	molecular_chaperone	2010-2016	5VYY	9QY	50496299	CHEMBL3805415	Heat shock protein HSP 90-alpha	 240			ChEMBL	10.1021/acs.jmedchem.6b00085	27003516	Crowley, VM; Khandelwal, A; Mishra, S; Stothert, AR; Huard, DJ; Zhao, J; Muth, A; Duerfeldt, AS; Kizziah, JL; Lieberman, RL; Dickey, CA; Blagg, BS	The University of Kansas	4/15/2016	
G3AUD-022	G3S-da8fc773cdc768de	G3S-da8fc773cdc768de-L0017	lowest_pKd	1	6.69897000434	200	UDLTUJYBFNCMJX-UHFFFAOYSA-N	CCOC(=O)c1ncn2c1C1CCCN1C(=O)c1cc(C#C[Si](C)(C)C)ccc1-2	doi:10.1021/jm701433b	ligand_gated_ion_channel	2000-2009	6HUP	DZP	50874503	ethyl 12-oxo-15-[2-(trimethylsilyl)ethynyl]-2,4,11-triazatetracyclo[11.4.0.0^{2,6}.0^{7,11}]heptadeca-1(17),3,5,13,15-pentaene-5-carboxylate::CHEMBL518197	Gamma-aminobutyric acid receptor subunit alpha-1	 200			ChEMBL	10.1021/jm701433b	18537233	Harris, D; Clayton, T; Cook, J; Sahbaie, P; Halliwell, RF; Furtmuller, R; Huck, S; Sieghart, W; DeLorey, TM	Moltech	7/7/2008	
G3AUD-023	G3S-da8fc773cdc768de	G3S-da8fc773cdc768de-L0004	highest_pKd	1	10	0.1	FTHGIXILGYJOBQ-UHFFFAOYSA-N	COc1ccc(-n2[nH]c3c(cnc4ccccc43)c2=O)cc1	doi:10.1021/jm701433b	ligand_gated_ion_channel	2000-2009	6HUP	DZP	50874508	2-(4-Methoxy-phenyl)-2,5-dihydro-pyrazolo[4,3-c]quinolin-3-one (CGS 9895)::CHEMBL296335::CGS 9895	Gamma-aminobutyric acid receptor subunit alpha-1	 0.1			ChEMBL	10.1021/jm701433b	18537233	Harris, D; Clayton, T; Cook, J; Sahbaie, P; Halliwell, RF; Furtmuller, R; Huck, S; Sieghart, W; DeLorey, TM	Moltech	7/7/2008	
G3AUD-024	G3S-ff4e5bfc253b96ea	G3S-ff4e5bfc253b96ea-L0063	lowest_pKd	1	4.39999691337	39811	TZBJGXHYKVUXJN-UHFFFAOYSA-N	O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12	doi:10.1021/jm7011485	soluble_transport_protein	2000-2009	1F5F	DHT	51035917	Prunetol::Genisteol::CHEMBL44::US8552057, 2::cid_5280961::Genistein, 8::5,7-dihydroxy-3-(4-hydroxyphenyl)-4H-chromen-4-one::Genistein	Sex hormone-binding globulin	 39811			ChEMBL	10.1021/jm7011485	18330978	Cherkasov, A; Ban, F; Santos-Filho, O; Thorsteinson, N; Fallahi, M; Hammond, GL	University of British Columbia	4/4/2008	1QKM,1X7J,1X7R,2QA8,3KGT,3KGU,4FJ1,5AUZ,5AV4,5KDA,6G8G,7NFB,8FOA
G3AUD-025	G3S-ff4e5bfc253b96ea	G3S-ff4e5bfc253b96ea-L0054	highest_pKd	1	9.73992861201	0.182	PVHMKHVQVIUQIP-UHFFFAOYSA-N	C#C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C	doi:10.1021/jm7011485	soluble_transport_protein	2000-2009	1F5F	DHT	51035975	17-Ethinyl-Dihydrotestosterone::CHEMBL260202	Sex hormone-binding globulin	 0.182000			ChEMBL	10.1021/jm7011485	18330978	Cherkasov, A; Ban, F; Santos-Filho, O; Thorsteinson, N; Fallahi, M; Hammond, GL	University of British Columbia	4/4/2008	
