panel	assay_target_label	gene_symbol	uniprot_accession	reported_clone	standardized_estimand_id	davis_structure_component	eligibility_status
KIRHub2026	CAMK1a	CAMK1	Q14012	full length	UniProt:Q14012:20-276|KLIFS:109:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	CAMK1b	PNCK	Q6P2M8	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CAMK1d	CAMK1D	Q8IU85	full length	UniProt:Q8IU85:23-279|KLIFS:110:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	CAMK1g	CAMK1G	Q96NX5	C-terminal truncation	UniProt:Q96NX5:23-277|KLIFS:111:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	CAMK2a	CAMK2A	Q9UQM7	full length	UniProt:Q9UQM7:13-271|KLIFS:113:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	CAMK2b	CAMK2B	Q13554	full length	UniProt:Q13554:14-272|KLIFS:114:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	CAMK2d	CAMK2D	Q13557	full length	UniProt:Q13557:14-272|KLIFS:115:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	CAMK2g	CAMK2G	Q13555	C-terminal truncation	UniProt:Q13555:14-272|KLIFS:116:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	CAMK4	CAMK4	Q16566	full length	UniProt:Q16566:46-300|KLIFS:108:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	CAMKK1	CAMKK1	Q8N5S9	full-length	UniProt:Q8N5S9:128-409|KLIFS:266:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	CAMKK2	CAMKK2	Q96RR4	full-length	UniProt:Q96RR4:165-446|KLIFS:265:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	CDC7/DBF4	CDC7/DBF4	CDC7:O00311; DBF4:Q9UBU7	full-length CDC7; full-length  DBF4			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK1/cyclin A	CDK1/CCNA2	CDK1: P06493; cyclin A: P20248	full length / full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK1/cyclin B	CDK1/CCNB1	CDK1: P06493; cyclin B: P14635	full length / full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK1/cyclin E	CDK1/CCNE1	CDK1: P06493; cyclin E: P24864	full length / full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK2/cyclin A1	CDK2/CCNA1	CDK2: P24941; cyclin A1:P78396	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK2/cyclin A	CDK2/CCNA2	CDK2: P24941; cyclin A2: P20248	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK2/cyclin E	CDK2/CCNE1	CDK2: P24941; cyclin E1: P24864	full length / full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK2/cyclin E2	CDK2/CCNE2	CDK2: P24941; cyclin E2: O96020	full length / full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK2/cyclin O	CDK2/CCNO	CDK2: P24941; cyclin O: P22674	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK3/cyclin C	CDK3/CCNC	CDK3: Q00526; cyclin C: P24863	full length / full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK3/cyclin E	CDK3/CCNE1	CDK3: Q00526; cyclin E: P24864	full length / full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK3/cyclin E2	CDK3/CCNE2	CDK3: Q00526; cyclin E2: O96020	full length / full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK4/cyclin D1	CDK4/CCND1	CDK4: P11802; Cyclin D1: P24385	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK4/cyclin D2	CDK4/CCND2	CDK4: P11802; Cyclin D2: P30279	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK4/cyclin D3	CDK4/CCND3	CDK4: P11802; Cyclin D3: P30281	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK5/p25	CDK5/CDK5R1	CDK5: Q00535; p25: Q15078	full length / aa104-307			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK5/p35	CDK5/CDK5R1	CDK5: Q00535; p35: Q15078	full length / full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK6/cyclin D1	CDK6/CCND1	CDK6: Q00534; Cyclin D1: P24385	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK6/cyclin D2	CDK6/CCND2	CDK6: Q00534; Cyclin D2: P30279	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK6/cyclin D3	CDK6/CCND3	CDK6: Q00534; Cyclin D3: P30281	full length / full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK7/cyclin H	CDK7/CCNH/MNAT1	CDK7: P50613; Cyclin H: P51946; MNAT1: Q6ICQ7	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK8/cyclin C	CDK8/CCNC	CDK8: P49336; cyclin C: P24863	full length / full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK9/cyclin K	CDK9/CCNK	CDK9: P50750; Cyclin K: O75909	full length / full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK9/cyclin T1	CDK9/CCNT1	CDK9: P50750; Cyclin T1: O60563	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK9/cyclin T2	CDK9/CCNT2	CDK9: P50750; Cyclin T2: O60583	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK12/cyclin K	CDK12/CCNK	CDK12: Q9NYV4; cyclin K: O75909	aa 715-1052/ aa 11-267			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK13/cyclin K	CDK13/CCNK	CDK13: Q14004; cyclin K: O75909	aa 656-1050/ aa 1-300			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK14 (PFTK1)/cyclin Y	CDK14/CCNY	CDK2: P24941; cyclin Y: Q8ND76	full-length/aa2-end			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK15/cyclin A2	CDK15/CCNA2	CDK15: Q96Q40; cyclin A2: P20248	(aa103-387)/full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK15/cyclin B1	CDK15/CCNB1	CDK15: Q96Q40; cyclin B1: P14635	(aa103-387)/full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK16/cyclin Y	CDK16/CCNY	CDK16: Q00536; cyclin Y: Q8ND76	full length (1-496)/full length (1-341)			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK17/cyclin Y (PCTK2)	CDK17/CCNY	CDK17: Q00537; cyclin Y: Q8ND76	full-length/aa2-end			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK18/cyclin Y	CDK18/CCNY	CDK18: Q07002; cyclin Y: Q8ND76	full-length/aa2-end			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CDK19/cyclin C	CDK19/CCNC	CDK19: Q9BWU1; Cyclin C: P24863	aa 1-502/aa 1-283			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CHK1	CHEK1	O14757	full length	UniProt:O14757:9-265|KLIFS:121:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	CHK2	CHEK2	O96017	full-length	UniProt:O96017:220-486|KLIFS:168:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	CK1a1	CSNK1A1 	P48729	full length	UniProt:P48729:17-285|KLIFS:184:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	CK1a1L	CSNK1A1L	Q8N752	full-length	UniProt:Q8N752:17-285|KLIFS:185:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	CK1d	CSNK1D 	P48730	full length	UniProt:P48730:9-277|KLIFS:186:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	CK1epsilon	CSNK1E 	P49674	full length	UniProt:P49674:9-277|KLIFS:187:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	CK1g1	CSNK1G1 	Q9HCP0	full-length	UniProt:Q9HCP0:44-315|KLIFS:190:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	CK1g2	CSNK1G2 	P78368	full length	UniProt:P78368:46-316|KLIFS:188:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	CK1g3	CSNK1G3 	Q9Y6M4	full-length	UniProt:Q9Y6M4:43-313|KLIFS:189:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	CK2a	CSNK2A1 	P68400	full length	UniProt:P68400:39-324|KLIFS:221:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	CK2a2	CSNK2A2	P19784	full length	UniProt:P19784:40-325|KLIFS:222:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	c-Kit	KIT	P10721	aa 544-976	UniProt:P10721:589-937|KLIFS:451:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	CLK1	CLK1	P49759	full catalytic domain	UniProt:P49759:161-477|KLIFS:223:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	CLK2	CLK2	P49760	catalytic domain aa137-498	UniProt:P49760:163-479|KLIFS:224:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	CLK3	CLK3	P49761	full-length	UniProt:P49761:156-472|KLIFS:225:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	CLK4	CLK4	Q9HAZ1	full-length	UniProt:Q9HAZ1:159-475|KLIFS:226:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	c-MER	MERTK	Q12866	aa 578-872	UniProt:Q12866:587-858|KLIFS:400:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	c-MET	MET	P08581	aa 956-1390	UniProt:P08581:1078-1345|KLIFS:446:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	COT1/MAP3K8	MAP3K8	P41279	aa 30-397			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	CSK	CSK	P41240	full-length	UniProt:P41240:195-449|KLIFS:402:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	c-Src	SRC	P12931	full-length	UniProt:P12931:270-523|KLIFS:462:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	CTK/MATK	MATK	P42679	full-length	UniProt:P42679:235-482|KLIFS:403:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	DAPK1	DAPK1	P53355	full catalytic (aa 1-363)	UniProt:P53355:13-275|KLIFS:140:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	DAPK2	DAPK2	Q9UIK4	full catalytic	UniProt:Q9UIK4:23-285|KLIFS:142:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	DCAMKL1	DCLK1	O15075	full-length	UniProt:O15075:390-647|KLIFS:145:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	DCAMKL2	DCLK2	Q8N568	full-length	UniProt:Q8N568:394-651|KLIFS:147:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	DCAMKL3	DCLK3	Q9C098	aa345-end	UniProt:Q9C098:356-613|KLIFS:146:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	DDR1	DDR1	Q08345	Catalytic (aa444-876)	UniProt:Q08345:610-905|KLIFS:404:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	DDR2	DDR2	Q16832	aa 422-855	UniProt:Q16832:563-849|KLIFS:405:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	DMPK	DMPK	Q09013	full-length	UniProt:Q09013:71-339|KLIFS:5:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	DMPK2/CDC42BPG	CDC42BPG	Q6DT37	Catalytic domain (aa1-475)	UniProt:Q6DT37:71-337|KLIFS:8:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	DRAK1/STK17A	STK17A	Q9UEE5	full-length	UniProt:Q9UEE5:61-321|KLIFS:144:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	DYRK1/DYRK1A	DYRK1A 	Q13627	full-length	UniProt:Q13627:159-479|KLIFS:227:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	DYRK1B	DYRK1B	Q9Y463	full-length	UniProt:Q9Y463:111-431|KLIFS:228:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	DYRK2	DYRK2	Q92630	full length	UniProt:Q92630:222-535|KLIFS:230:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	DYRK3	DYRK3	O43781	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	DYRK4	DYRK4 	Q9NR20	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	EGFR	EGFR	P00533	cytoplasmic (aa 668-1210)	UniProt:P00533:712-979|KLIFS:406:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	EPHA1	EPHA1	P21709	cytoplasmic	UniProt:P21709:624-884|KLIFS:411:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	EPHA2	EPHA2	P29317	cytoplasmic	UniProt:P29317:613-875|KLIFS:410:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	EPHA3	EPHA3	P29320	cytoplasmic	UniProt:P29320:621-882|KLIFS:412:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	EPHA4	EPHA4	P54764	aa 616-887	UniProt:P54764:621-882|KLIFS:413:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	EPHA5	EPHA5	P54756	aa 595-1037	UniProt:P54756:675-936|KLIFS:414:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	EPHA6	EPHA6	Q9UF33	Catalytic (683-end)	UniProt:Q9UF33:631-944|KLIFS:423:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	EPHA7	EPHA7	Q15375	catalytic domain (aa 579-998)	UniProt:Q15375:633-894|KLIFS:415:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	EPHA8	EPHA8	P29322	catalytic domain (aa 565-1005)	UniProt:P29322:635-896|KLIFS:416:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	EPHB1	EPHB1	P54762	cytoplasmic	UniProt:P54762:619-882|KLIFS:417:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	EPHB2	EPHB2	P29323	aa 616-889	UniProt:P29323:621-884|KLIFS:418:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	EPHB3	EPHB3	P54753	cytoplasmic	UniProt:P54753:633-896|KLIFS:419:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	EPHB4	EPHB4	P54760	cytoplasmic	UniProt:P54760:615-899|KLIFS:420:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	ERBB2/HER2	ERBB2	P04626	aa679-1255	UniProt:P04626:720-987|KLIFS:407:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	ERBB4/HER4	ERBB4	Q15303	aa 708-993	UniProt:Q15303:718-985|KLIFS:409:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	ERK1/MAPK3	MAPK3	P27361	full-length	UniProt:P27361:42-330|KLIFS:240:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	ERK2/MAPK1	MAPK1	P28482	full-length	UniProt:P28482:25-313|KLIFS:239:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	ERK5/MAPK7	MAPK7	Q13164	full-length	UniProt:Q13164:55-347|KLIFS:243:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	ERK7/MAPK15	MAPK15	Q8TD08	aa 1-354	UniProt:Q8TD08:13-304|KLIFS:244:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	ERN1/IRE1	ERN1	O75460	aa 468-end	UniProt:O75460:571-832|KLIFS:273:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	ERN2/IRE2	ERN2	Q76MJ5	aa 449-end			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	FAK/PTK2	PTK2	Q05397	full-length	UniProt:Q05397:422-680|KLIFS:425:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	FER	FER	P16591	aa540-822	UniProt:P16591:563-816|KLIFS:426:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	FES/FPS	FES	P07332	full-length	UniProt:P07332:561-822|KLIFS:427:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	FGFR1	FGFR1	P11362	cytoplasmic (aa308-731)	UniProt:P11362:478-767|KLIFS:428:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	FGFR2	FGFR2	P21802	cytoplasmic	UniProt:P21802:481-770|KLIFS:430:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	FGFR3	FGFR3	P22607	cytoplasmic	UniProt:P22607:472-761|KLIFS:429:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	FGFR4	FGFR4	P22455	aa 460-802	UniProt:P22455:467-755|KLIFS:431:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	FGR	FGR	P09769	full-length	UniProt:P09769:263-516|KLIFS:460:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	FLT1/VEGFR1	FLT1	P17948	aa 781-1338	UniProt:P17948:827-1158|KLIFS:483:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	FLT3	FLT3	P36888	aa 564-958	UniProt:P36888:610-943|KLIFS:450:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	FLT4/VEGFR3	FLT4	P35916	aa 800-1297	UniProt:P35916:845-1173|KLIFS:484:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	FMS	CSF1R	P07333	cytoplasmic	UniProt:P07333:582-910|KLIFS:449:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	FRK/PTK5	FRK	P42685	full-length	UniProt:P42685:234-491|KLIFS:459:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	FYN	FYN	P06241	full-length	UniProt:P06241:271-524|KLIFS:461:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	GCK/MAP4K2	MAP4K2	Q12851	full-length	UniProt:Q12851:16-273|KLIFS:1105:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	GLK/MAP4K3	MAP4K3	Q8IVH8	aa 1-380	UniProt:Q8IVH8:16-273|KLIFS:356:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	GRK1	GRK1	Q15835	full-length	UniProt:Q15835:190-455|KLIFS:16:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	GRK2	ADRBK1	P25098	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	GRK3	ADRBK2	P35626	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
