construct_group_1	construct_group_2	edge_type	evidence_count	evidence_views	evidence_regions	evidence_modes	maximum_tm_score	best_rmsd_angstrom	best_aligned_length	best_aligned_fraction_of_shorter
construct-016-fad0d613c720	construct-039-90fec4b83698	validated_structural_similarity	1	S1	global	sequential	0.8263	2.02	108	0.9557522123893806
construct-016-fad0d613c720	construct-082-250a0b13b064	validated_structural_similarity	3	S1	global;pocket	fully_nonsequential;sequential	0.8592	1.67	113	0.9495798319327731
construct-016-fad0d613c720	construct-126-cecc6141575d	validated_structural_similarity	3	S1;S2	global;pocket	fully_nonsequential;sequential	0.8835	1.61	108	0.9908256880733946
construct-016-fad0d613c720	construct-133-eab72abc872f	validated_structural_similarity	5	S1;S2	global;pocket	fully_nonsequential;sequential	0.9303	1.15	108	0.9908256880733946
construct-017-11db684aee95	construct-072-0883ef7c2bf6	validated_structural_similarity	2	S1;S2	global	sequential	0.9551	1.5	454	0.9848156182212582
construct-017-11db684aee95	construct-125-c460e3bd19de	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	1333	1.0
construct-019-1be38543a2db	construct-051-31c871f0f628	validated_structural_similarity	1	S1	global	sequential	0.5189	3.48	86	0.7478260869565218
construct-020-2acb35da5928	construct-066-cf6ef633d328	validated_structural_similarity	5	S1;S2	global;pocket	fully_nonsequential;sequential	0.9813	0.75	256	0.9961089494163424
construct-023-68918bffe9f0	construct-088-4200e5f1c56e	validated_structural_similarity	3	S1	global;pocket	fully_nonsequential;sequential	0.9987	0.17	162	1.0
construct-026-997c3e281e6e	construct-028-c2d68d73bda9	validated_structural_similarity	2	S1;S2	pocket	fully_nonsequential	0.571	2.16	8	1.0
construct-026-997c3e281e6e	construct-029-13705e998f4e	validated_structural_similarity	1	S1	global	sequential	0.5281	3.97	94	0.912621359223301
construct-026-997c3e281e6e	construct-065-c6820d7c5ca9	validated_structural_similarity	4	S1;S2	pocket	fully_nonsequential;sequential	0.5471	1.58	21	0.875
construct-026-997c3e281e6e	construct-126-cecc6141575d	validated_structural_similarity	1	S1	global	sequential	0.5023	4.31	97	0.8899082568807339
construct-026-997c3e281e6e	construct-133-eab72abc872f	validated_structural_similarity	1	S1	global	sequential	0.5151	4.55	100	0.9174311926605505
construct-027-baf0440a45db	construct-029-13705e998f4e	validated_structural_similarity	5	S1;S2	global;pocket	fully_nonsequential;sequential	0.9559	0.83	103	1.0
construct-027-baf0440a45db	construct-039-90fec4b83698	validated_structural_similarity	1	S1	global	sequential	0.8149	1.89	105	0.9292035398230089
construct-027-baf0440a45db	construct-082-250a0b13b064	validated_structural_similarity	3	S1	global;pocket	fully_nonsequential;sequential	0.8631	2.05	111	0.9568965517241379
construct-027-baf0440a45db	construct-126-cecc6141575d	validated_structural_similarity	5	S1;S2	global;pocket	fully_nonsequential;sequential	0.8968	1.55	107	0.981651376146789
construct-027-baf0440a45db	construct-133-eab72abc872f	validated_structural_similarity	3	S1;S2	global;pocket	fully_nonsequential;sequential	0.8892	1.48	106	0.9724770642201835
construct-028-c2d68d73bda9	construct-047-02852c250924	validated_structural_similarity	2	S1;S2	pocket	fully_nonsequential	0.5655	1.31	8	1.0
construct-028-c2d68d73bda9	construct-094-4d70d9d3dad0	validated_structural_similarity	2	S1;S2	global	sequential	1.0	0.0	706	1.0
construct-029-13705e998f4e	construct-039-90fec4b83698	validated_structural_similarity	1	S1	global	sequential	0.872	1.83	103	1.0
construct-029-13705e998f4e	construct-082-250a0b13b064	validated_structural_similarity	1	S1	global	sequential	0.9238	1.17	103	1.0
construct-029-13705e998f4e	construct-126-cecc6141575d	validated_structural_similarity	5	S1;S2	global;pocket	fully_nonsequential;sequential	0.9166	1.2	103	1.0
construct-029-13705e998f4e	construct-133-eab72abc872f	validated_structural_similarity	3	S1;S2	global;pocket	fully_nonsequential;sequential	0.9256	1.18	103	1.0
construct-030-2c56ee04d79a	construct-068-e4ce5a06fca5	validated_structural_similarity	1	S2	global	sequential	0.5017	4.42	178	0.6617100371747212
construct-030-2c56ee04d79a	construct-073-08de83e846b6	validated_structural_similarity	2	S1;S2	global	sequential	0.6096	3.87	167	0.8106796116504854
construct-031-37b3e0822467	construct-065-c6820d7c5ca9	validated_structural_similarity	4	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	732	1.0
construct-034-4b9e20d92aa0	construct-046-e314686107a8	validated_structural_similarity	2	S1;S2	global	sequential	0.8532	2.43	255	0.9586466165413534
construct-034-4b9e20d92aa0	construct-047-02852c250924	validated_structural_similarity	2	S1;S2	global	sequential	0.8535	2.34	252	0.9473684210526315
construct-034-4b9e20d92aa0	construct-050-27409f179f54	validated_structural_similarity	2	S1;S2	global	sequential	0.8497	2.49	255	0.9586466165413534
construct-034-4b9e20d92aa0	construct-056-5e2cf644e754	validated_structural_similarity	4	S1;S2	global;pocket	fully_nonsequential;sequential	0.8022	3.05	252	0.9473684210526315
construct-034-4b9e20d92aa0	construct-057-64fd661d958f	validated_structural_similarity	2	S1;S2	global	sequential	0.9303	1.63	261	0.981203007518797
construct-034-4b9e20d92aa0	construct-061-920a294dd28c	validated_structural_similarity	2	S1;S2	global	sequential	0.8305	2.58	252	0.9473684210526315
construct-034-4b9e20d92aa0	construct-093-4c5251a29733	validated_structural_similarity	1	S1	global	sequential	0.5081	4.05	177	0.6654135338345865
construct-034-4b9e20d92aa0	construct-103-710261cb700a	validated_structural_similarity	2	S1;S2	global	sequential	0.8936	2.27	260	0.9774436090225563
construct-034-4b9e20d92aa0	construct-112-9480d3c9488d	validated_structural_similarity	2	S1;S2	global	sequential	0.7807	3.25	248	0.9323308270676691
construct-034-4b9e20d92aa0	construct-115-9a950e182ddc	validated_structural_similarity	2	S1;S2	global	sequential	0.8104	2.87	252	0.9473684210526315
construct-034-4b9e20d92aa0	construct-123-b8ea4f953170	validated_structural_similarity	2	S1;S2	global	sequential	0.7726	3.46	248	0.9323308270676691
construct-034-4b9e20d92aa0	construct-138-fe22d91e18cd	validated_structural_similarity	4	S1;S2	global;pocket	fully_nonsequential;sequential	0.7859	2.43	235	0.8834586466165414
construct-039-90fec4b83698	construct-082-250a0b13b064	validated_structural_similarity	1	S1	global	sequential	0.84	1.82	108	0.9557522123893806
construct-039-90fec4b83698	construct-126-cecc6141575d	validated_structural_similarity	5	S1;S2	global;pocket	fully_nonsequential;sequential	0.8386	2.28	106	0.9724770642201835
construct-039-90fec4b83698	construct-133-eab72abc872f	validated_structural_similarity	1	S1	global	sequential	0.8114	2.09	105	0.963302752293578
construct-040-ac2363267f3b	construct-056-5e2cf644e754	validated_structural_similarity	1	S2	global	sequential	0.5266	3.57	93	0.7622950819672131
construct-041-af8addec2ede	construct-108-8182bbcbf8a0	validated_structural_similarity	3	S1	global;pocket	fully_nonsequential;sequential	0.7889	2.31	166	0.8877005347593583
construct-042-b818769d59cf	construct-043-bfab01cca0a7	validated_structural_similarity	5	S1;S2	global;pocket	fully_nonsequential;sequential	0.7888	2.41	99	0.9801980198019802
construct-042-b818769d59cf	construct-054-50c213a0f7bf	validated_structural_similarity	1	S2	global	sequential	0.7333	3.29	361	0.8204545454545454
construct-042-b818769d59cf	construct-080-212de0c2d87d	validated_structural_similarity	1	S2	global	sequential	0.7333	3.29	361	0.8204545454545454
construct-046-e314686107a8	construct-047-02852c250924	validated_structural_similarity	2	S1;S2	global	sequential	1.0	0.0	391	1.0
construct-046-e314686107a8	construct-050-27409f179f54	validated_structural_similarity	2	S1;S2	global	sequential	0.7691	2.72	256	0.8707482993197279
construct-046-e314686107a8	construct-056-5e2cf644e754	validated_structural_similarity	2	S1;S2	global	sequential	0.7802	2.84	246	0.9010989010989011
construct-046-e314686107a8	construct-057-64fd661d958f	validated_structural_similarity	2	S1;S2	global	sequential	0.8112	2.23	254	0.8943661971830986
construct-046-e314686107a8	construct-061-920a294dd28c	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	391	1.0
construct-046-e314686107a8	construct-103-710261cb700a	validated_structural_similarity	2	S1;S2	global	sequential	0.7947	2.18	257	0.8624161073825504
construct-046-e314686107a8	construct-112-9480d3c9488d	validated_structural_similarity	2	S1;S2	global	sequential	0.736	2.9	271	0.8287461773700305
construct-046-e314686107a8	construct-115-9a950e182ddc	validated_structural_similarity	2	S1;S2	global	sequential	0.7652	2.74	250	0.8710801393728222
construct-046-e314686107a8	construct-123-b8ea4f953170	validated_structural_similarity	2	S1;S2	global	sequential	0.7348	3.35	248	0.8763250883392226
construct-046-e314686107a8	construct-138-fe22d91e18cd	validated_structural_similarity	2	S1;S2	global	sequential	0.8425	2.59	277	0.9295302013422819
construct-047-02852c250924	construct-050-27409f179f54	validated_structural_similarity	2	S1;S2	global	sequential	0.773	2.77	257	0.8741496598639455
construct-047-02852c250924	construct-056-5e2cf644e754	validated_structural_similarity	2	S1;S2	global	sequential	0.7768	2.85	245	0.8974358974358975
construct-047-02852c250924	construct-057-64fd661d958f	validated_structural_similarity	2	S1;S2	global	sequential	0.8079	2.22	252	0.8873239436619719
construct-047-02852c250924	construct-061-920a294dd28c	validated_structural_similarity	2	S1;S2	global	sequential	1.0	0.0	391	1.0
construct-047-02852c250924	construct-103-710261cb700a	validated_structural_similarity	2	S1;S2	global	sequential	0.7963	2.07	256	0.8590604026845637
construct-047-02852c250924	construct-112-9480d3c9488d	validated_structural_similarity	2	S1;S2	global	sequential	0.7299	3.08	271	0.8364197530864198
construct-047-02852c250924	construct-115-9a950e182ddc	validated_structural_similarity	2	S1;S2	global	sequential	0.7528	2.99	251	0.8745644599303136
construct-047-02852c250924	construct-123-b8ea4f953170	validated_structural_similarity	2	S1;S2	global	sequential	0.7325	3.28	247	0.872791519434629
construct-047-02852c250924	construct-138-fe22d91e18cd	validated_structural_similarity	2	S1;S2	global	sequential	0.8425	2.59	277	0.9295302013422819
construct-050-27409f179f54	construct-056-5e2cf644e754	validated_structural_similarity	1	S1	global	sequential	0.7851	2.7	246	0.9010989010989011
construct-050-27409f179f54	construct-057-64fd661d958f	validated_structural_similarity	2	S1;S2	global	sequential	0.7962	2.66	255	0.897887323943662
construct-050-27409f179f54	construct-061-920a294dd28c	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	0.7671	2.71	255	0.8673469387755102
construct-050-27409f179f54	construct-103-710261cb700a	validated_structural_similarity	2	S1;S2	global	sequential	0.7733	2.84	257	0.8741496598639455
construct-050-27409f179f54	construct-112-9480d3c9488d	validated_structural_similarity	2	S1;S2	global	sequential	0.7284	3.01	248	0.8435374149659864
construct-050-27409f179f54	construct-115-9a950e182ddc	validated_structural_similarity	2	S1;S2	global	sequential	0.7269	3.25	250	0.8710801393728222
construct-050-27409f179f54	construct-123-b8ea4f953170	validated_structural_similarity	2	S1;S2	global	sequential	0.7291	3.72	254	0.8975265017667845
construct-050-27409f179f54	construct-138-fe22d91e18cd	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	0.7514	2.91	256	0.8590604026845637
construct-053-41d32cbef056	construct-116-9ae95a04d65c	validated_structural_similarity	4	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	159	1.0
construct-053-41d32cbef056	construct-124-bf2caeb019c6	validated_structural_similarity	4	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	159	1.0
construct-054-50c213a0f7bf	construct-080-212de0c2d87d	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	440	1.0
construct-056-5e2cf644e754	construct-057-64fd661d958f	validated_structural_similarity	2	S1;S2	global	sequential	0.7945	2.8	249	0.9120879120879121
construct-056-5e2cf644e754	construct-061-920a294dd28c	validated_structural_similarity	2	S1;S2	global	sequential	0.7803	2.67	243	0.8901098901098901
construct-056-5e2cf644e754	construct-103-710261cb700a	validated_structural_similarity	5	S1;S2	global;pocket	fully_nonsequential;sequential	0.8034	2.92	254	0.9304029304029304
construct-056-5e2cf644e754	construct-112-9480d3c9488d	validated_structural_similarity	2	S1;S2	global	sequential	0.7776	2.9	244	0.8937728937728938
construct-056-5e2cf644e754	construct-115-9a950e182ddc	validated_structural_similarity	1	S1	global	sequential	0.7433	3.3	245	0.8974358974358975
construct-056-5e2cf644e754	construct-123-b8ea4f953170	validated_structural_similarity	1	S1	global	sequential	0.8465	2.35	253	0.9267399267399268
construct-056-5e2cf644e754	construct-138-fe22d91e18cd	validated_structural_similarity	2	S1;S2	global	sequential	0.7426	2.98	235	0.8608058608058609
construct-057-64fd661d958f	construct-061-920a294dd28c	validated_structural_similarity	2	S1;S2	global	sequential	0.7939	2.34	251	0.8838028169014085
construct-057-64fd661d958f	construct-103-710261cb700a	validated_structural_similarity	2	S1;S2	global	sequential	0.853	2.37	264	0.9295774647887324
construct-057-64fd661d958f	construct-112-9480d3c9488d	validated_structural_similarity	2	S1;S2	global	sequential	0.7567	3.23	253	0.8908450704225352
construct-057-64fd661d958f	construct-115-9a950e182ddc	validated_structural_similarity	1	S1	global	sequential	0.7991	2.98	263	0.926056338028169
construct-057-64fd661d958f	construct-123-b8ea4f953170	validated_structural_similarity	1	S1	global	sequential	0.7309	3.48	246	0.8692579505300353
construct-057-64fd661d958f	construct-138-fe22d91e18cd	validated_structural_similarity	2	S1;S2	global	sequential	0.7584	3.01	259	0.8691275167785235
construct-061-920a294dd28c	construct-103-710261cb700a	validated_structural_similarity	2	S1;S2	global	sequential	0.7864	2.23	255	0.8557046979865772
construct-061-920a294dd28c	construct-112-9480d3c9488d	validated_structural_similarity	2	S1;S2	global	sequential	0.7394	2.82	270	0.8333333333333334
construct-061-920a294dd28c	construct-115-9a950e182ddc	validated_structural_similarity	2	S1;S2	global	sequential	0.7535	2.83	248	0.8641114982578397
construct-061-920a294dd28c	construct-123-b8ea4f953170	validated_structural_similarity	2	S1;S2	global	sequential	0.7289	3.24	245	0.8657243816254417
construct-061-920a294dd28c	construct-138-fe22d91e18cd	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	0.8425	2.59	277	0.9295302013422819
construct-062-9efbec4633b7	construct-089-457c7d99d0a8	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	0.9794	0.85	259	0.9961538461538462
construct-064-ad692e3f3920	construct-111-8af9958b120b	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	501	1.0
construct-064-ad692e3f3920	construct-135-eb81b9f95fe1	validated_structural_similarity	4	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	501	1.0
construct-068-e4ce5a06fca5	construct-073-08de83e846b6	validated_structural_similarity	2	S1;S2	global	sequential	0.7513	2.95	187	0.9033816425120773
construct-069-eae4b87a5d0e	construct-075-11667023dc36	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	165	1.0
construct-069-eae4b87a5d0e	construct-127-cf37c77dcb23	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	165	1.0
construct-072-0883ef7c2bf6	construct-125-c460e3bd19de	validated_structural_similarity	2	S1;S2	global	sequential	0.9501	1.46	451	0.9783080260303688
construct-073-08de83e846b6	construct-078-1cc8ce95bee6	validated_structural_similarity	2	S1;S2	global	sequential	0.5259	5.17	172	0.8309178743961353
construct-073-08de83e846b6	construct-084-32e392306ff8	validated_structural_similarity	2	S1;S2	global	sequential	0.555	4.33	164	0.7922705314009661
construct-073-08de83e846b6	construct-092-49214f6eb0db	validated_structural_similarity	1	S2	global	sequential	0.5012	3.97	142	0.6893203883495146
construct-073-08de83e846b6	construct-095-5413b51ed388	validated_structural_similarity	2	S1;S2	global	sequential	0.542	4.07	160	0.7729468599033816
construct-073-08de83e846b6	construct-118-9f8b6e165062	validated_structural_similarity	2	S1;S2	global	sequential	0.5827	4.42	173	0.8398058252427184
construct-075-11667023dc36	construct-127-cf37c77dcb23	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	165	1.0
construct-078-1cc8ce95bee6	construct-095-5413b51ed388	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	0.9888	0.62	532	0.994392523364486
construct-078-1cc8ce95bee6	construct-097-59c0fef6e781	validated_structural_similarity	2	S1;S2	global	sequential	0.5826	4.86	280	0.7547169811320755
construct-081-24e4a9c7d2a9	construct-096-584f2cad7947	validated_structural_similarity	1	S1	global	sequential	0.748	3.12	178	0.9035532994923858
construct-081-24e4a9c7d2a9	construct-099-64e2bd6b555d	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	505	1.0
construct-081-24e4a9c7d2a9	construct-129-da127f2629ee	validated_structural_similarity	1	S1	global	sequential	0.74	2.94	217	0.868
construct-082-250a0b13b064	construct-126-cecc6141575d	validated_structural_similarity	3	S1	global;pocket	fully_nonsequential;sequential	0.9381	1.51	108	0.9908256880733946
construct-082-250a0b13b064	construct-133-eab72abc872f	validated_structural_similarity	1	S1	global	sequential	0.8932	1.27	106	0.9724770642201835
construct-083-2c0e2584aae9	construct-102-6eebf5264d70	validated_structural_similarity	1	S2	global	sequential	0.5028	4.41	105	0.7954545454545454
construct-091-4834dba4d3ca	construct-101-6d45410f8f76	validated_structural_similarity	2	S1;S2	global	sequential	0.565	4.56	240	0.759493670886076
construct-095-5413b51ed388	construct-097-59c0fef6e781	validated_structural_similarity	2	S1;S2	global	sequential	0.5821	4.96	282	0.7601078167115903
construct-096-584f2cad7947	construct-099-64e2bd6b555d	validated_structural_similarity	1	S1	global	sequential	0.7491	3.15	179	0.9086294416243654
construct-096-584f2cad7947	construct-129-da127f2629ee	validated_structural_similarity	1	S1	global	sequential	0.7826	3.13	183	0.9289340101522843
construct-099-64e2bd6b555d	construct-129-da127f2629ee	validated_structural_similarity	1	S1	global	sequential	0.7445	2.96	219	0.876
construct-100-68fa759a793c	construct-114-95cbcb4a8b50	validated_structural_similarity	2	S1;S2	global	sequential	0.8613	2.17	290	0.9385113268608414
construct-100-68fa759a793c	construct-123-b8ea4f953170	validated_structural_similarity	1	S2	global	sequential	0.5716	4.36	314	0.7120181405895691
construct-103-710261cb700a	construct-112-9480d3c9488d	validated_structural_similarity	2	S1;S2	global	sequential	0.7272	3.09	249	0.8355704697986577
construct-103-710261cb700a	construct-115-9a950e182ddc	validated_structural_similarity	1	S1	global	sequential	0.7747	3.06	259	0.9024390243902439
construct-103-710261cb700a	construct-123-b8ea4f953170	validated_structural_similarity	1	S1	global	sequential	0.7403	3.24	247	0.872791519434629
construct-103-710261cb700a	construct-138-fe22d91e18cd	validated_structural_similarity	2	S1;S2	global	sequential	0.7514	3.01	255	0.8557046979865772
construct-111-8af9958b120b	construct-135-eb81b9f95fe1	validated_structural_similarity	2	S1;S2	global	sequential	1.0	0.0	501	1.0
construct-112-9480d3c9488d	construct-115-9a950e182ddc	validated_structural_similarity	2	S1;S2	global	sequential	0.7096	3.16	243	0.8466898954703833
construct-112-9480d3c9488d	construct-123-b8ea4f953170	validated_structural_similarity	2	S1;S2	global	sequential	0.7232	3.3	244	0.8621908127208481
construct-112-9480d3c9488d	construct-138-fe22d91e18cd	validated_structural_similarity	2	S1;S2	global	sequential	0.8497	2.55	284	0.9530201342281879
construct-114-95cbcb4a8b50	construct-123-b8ea4f953170	validated_structural_similarity	1	S2	global	sequential	0.7198	3.41	290	0.8682634730538922
construct-115-9a950e182ddc	construct-123-b8ea4f953170	validated_structural_similarity	1	S1	global	sequential	0.6852	3.5	238	0.8409893992932862
construct-115-9a950e182ddc	construct-138-fe22d91e18cd	validated_structural_similarity	2	S1;S2	global	sequential	0.7453	3.04	257	0.8624161073825504
construct-116-9ae95a04d65c	construct-124-bf2caeb019c6	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	159	1.0
construct-121-a692a9cca88a	construct-122-a7a7325a75fe	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	610	1.0
construct-123-b8ea4f953170	construct-138-fe22d91e18cd	validated_structural_similarity	2	S1;S2	global	sequential	0.7195	3.72	259	0.8691275167785235
construct-126-cecc6141575d	construct-133-eab72abc872f	validated_structural_similarity	1	S1	global	sequential	0.8749	1.57	106	0.9724770642201835
