series_id	prestructure_component_id	component_series_count	retained_ligand_count	retained_nonempty_scaffold_count	retained_pKd_range	target_names	publication_id	pdb_id	alignment_identity	resolution_angstrom	selected	selection_rank	candidate_graph_degree
G3S-2a143dedddd90694	G3C-001	211	13	7	1.56987531	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	doi:10.1016/j.bmc.2014.02.022	4M5I	1	1.08	true	20	0
G3S-a0eeacac2c679281	G3C-001	211	12	9	2.62838893	PA-I galactophilic lectin	doi:10.1016/j.ejmech.2022.115025	7Z63	1	1.75	true	21	0
G3S-3bfb2092ea669ef8	G3C-001	211	12	9	1.71688159	Histone-lysine N-methyltransferase NSD2	doi:10.1021/acs.jmedchem.0c01768	6UE6	1	2.4	true	22	0
G3S-237de531113c65a9	G3C-001	211	11	8	1.40201588	Albumin	doi:10.1016/j.bmcl.2015.05.099	3B9M	1	2.7	true	23	0
G3S-5fea584126042c2e	G3C-007	1	11	3	4.46922412	Programmed cell death 1 ligand 1	pmid:35429911	5J89	1	2.2	true	24	0
G3S-03ecbf7361b64421	G3C-001	211	10	10	2.01360318	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	doi:10.1021/acs.jmedchem.7b01243	5X74	0.993333333	2.25	true	25	0
G3S-fe0860941e1bd481	G3C-001	211	10	10	1.48811664	Gastrotropin	doi:10.1021/acs.jmedchem.6b00869	5L8N	1	2.12	true	26	0
G3S-95eff58067253a12	G3C-010	1	9	6	2.86530143	Glucokinase regulatory protein	doi:10.1021/acs.jmedchem.5b01367	4PX3	1	2.43	true	27	0
G3S-1d6a948c781cf9b6	G3C-001	211	9	6	2.86530143	Pantothenate synthetase	doi:10.1021/jm101121s	3LE8	0.993333333	1.7	true	28	0
G3S-7e32e8326784c5b1	G3C-009	1	9	4	2.13469857	E3 ubiquitin-protein ligase CBL-B	pmid:38894924	8VW5	0.990322581	1.76	true	29	0
G3S-6454ff7a6533168a	G3C-001	211	9	3	5.8573325	Transthyretin	doi:10.1021/jm0700159	4ABV	1	1.8	true	30	1
G3S-0adfbd2895adde2d	G3C-003	1	9	3	2.66118144	Alpha-tocopherol transfer protein	doi:10.1016/j.bmc.2009.10.046	1R5L	1	1.5	true	31	0
G3S-83ba16a2ad335359	G3C-001	211	8	8	2.04139269	Lethal(3)malignant brain tumor-like protein 3	doi:10.1039/c3md00197k	4L59	1	2.29	true	32	0
G3S-b6b157cccce7111a	G3C-001	211	8	8	1.25527251	Lysine-specific demethylase 5A	doi:10.1021/acs.jmedchem.8b00261	5V9T	1	3.05	true	33	0
G3S-3a4ac119455247b0	G3C-002	2	8	4	2.37358066	Peptidyl-prolyl cis-trans isomerase A	doi:10.1021/acs.jmedchem.6b01329	5T9Z	1	1.4	true	34	0
