estimand_id	gene_symbol	uniprot_accession	component_id	component_size	coordinate_status	edge_policy
UniProt:P11309:38-290|KLIFS:160:positions1-85	PIM1	P11309	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P11362:478-767|KLIFS:428:positions1-85	FGFR1	P11362	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P12931:270-523|KLIFS:462:positions1-85	SRC	P12931	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P14616:979-1254|KLIFS:434:positions1-85	INSRR	P14616	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P15056:457-717|KLIFS:509:positions1-85	BRAF	P15056	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P15735:24-291|KLIFS:159:positions1-85	PHKG2	P15735	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P16234:593-954|KLIFS:452:positions1-85	PDGFRA	P16234	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P16591:563-816|KLIFS:426:positions1-85	FER	P16591	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P17612:44-298|KLIFS:28:positions1-85	PRKACA	P17612	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P17948:827-1158|KLIFS:483:positions1-85	FLT1	P17948	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P19525:267-538|KLIFS:310:positions1-85	EIF2AK2	P19525	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P19784:40-325|KLIFS:222:positions1-85	CSNK2A2	P19784	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P20794:4-284|KLIFS:253:positions1-85	MAK	P20794	PTC004	2	BLOCKED_MAPPING	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P21709:624-884|KLIFS:411:positions1-85	EPHA1	P21709	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P21802:481-770|KLIFS:430:positions1-85	FGFR2	P21802	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P21860:709-966|KLIFS:408:positions1-85	ERBB3	P21860	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P22455:467-755|KLIFS:431:positions1-85	FGFR4	P22455	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P22607:472-761|KLIFS:429:positions1-85	FGFR3	P22607	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P22694:44-298|KLIFS:29:positions1-85	PRKACB	P22694	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P23443:91-352|KLIFS:51:positions1-85	RPS6KB1	P23443	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P23458:875-1153|KLIFS:435:positions1-85	JAK1	P23458	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P24723:355-614|KLIFS:39:positions1-85	PRKCH	P24723	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P24941:4-286|KLIFS:198:positions1-85	CDK2	P24941	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P27037:192-485|KLIFS:523:positions1-85	ACVR2A	P27037	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P27361:42-330|KLIFS:240:positions1-85	MAPK3	P27361	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P27448:56-307|KLIFS:126:positions1-85	MARK3	P27448	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P28482:25-313|KLIFS:239:positions1-85	MAPK1	P28482	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P29317:613-875|KLIFS:410:positions1-85	EPHA2	P29317	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P29320:621-882|KLIFS:412:positions1-85	EPHA3	P29320	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P29322:635-896|KLIFS:416:positions1-85	EPHA8	P29322	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P29323:621-884|KLIFS:418:positions1-85	EPHB2	P29323	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P29376:510-786|KLIFS:397:positions1-85	LTK	P29376	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P29597:897-1176|KLIFS:441:positions1-85	TYK2	P29597	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P30291:299-569|KLIFS:333:positions1-85	WEE1	P30291	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P30530:536-807|KLIFS:398:positions1-85	AXL	P30530	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P31152:20-312|KLIFS:241:positions1-85	MAPK4	P31152	PTC001	323	BLOCKED_MAPPING	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P31749:150-408|KLIFS:1:positions1-85	AKT1	P31749	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P31751:152-409|KLIFS:2:positions1-85	AKT2	P31751	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P32298:187-449|KLIFS:13:positions1-85	GRK4	P32298	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P33981:525-791|KLIFS:326:positions1-85	TTK	P33981	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P35590:839-1118|KLIFS:478:positions1-85	TIE1	P35590	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P35916:845-1173|KLIFS:484:positions1-85	FLT4	P35916	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P35968:834-1162|KLIFS:485:positions1-85	KDR	P35968	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P36507:72-369|KLIFS:384:positions1-85	MAP2K2	P36507	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P36888:610-943|KLIFS:450:positions1-85	FLT3	P36888	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P36894:234-525|KLIFS:519:positions1-85	BMPR1A	P36894	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P36896:207-497|KLIFS:517:positions1-85	ACVR1B	P36896	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P36897:205-495|KLIFS:521:positions1-85	TGFBR1	P36897	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P37023:202-492|KLIFS:518:positions1-85	ACVRL1	P37023	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P37173:244-544|KLIFS:527:positions1-85	TGFBR2	P37173	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P41240:195-449|KLIFS:402:positions1-85	CSK	P41240	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P41743:254-522|KLIFS:40:positions1-85	PRKCI	P41743	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P42679:235-482|KLIFS:403:positions1-85	MATK	P42679	PTC001	323	BLOCKED_MAPPING	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P42680:370-623|KLIFS:475:positions1-85	TEC	P42680	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P42681:271-527|KLIFS:476:positions1-85	TXK	P42681	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P42684:288-539|KLIFS:393:positions1-85	ABL2	P42684	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P42685:234-491|KLIFS:459:positions1-85	FRK	P42685	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P43403:338-600|KLIFS:471:positions1-85	ZAP70	P43403	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P43405:371-631|KLIFS:470:positions1-85	SYK	P43405	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P45983:26-321|KLIFS:245:positions1-85	MAPK8	P45983	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P45984:26-321|KLIFS:246:positions1-85	MAPK9	P45984	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P45985:102-367|KLIFS:387:positions1-85	MAP2K4	P45985	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P46734:64-325|KLIFS:385:positions1-85	MAP2K3	P46734	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P48729:17-285|KLIFS:184:positions1-85	CSNK1A1	P48729	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P48730:9-277|KLIFS:186:positions1-85	CSNK1D	P48730	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P49137:64-325|KLIFS:150:positions1-85	MAPKAPK2	P49137	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P49336:21-335|KLIFS:205:positions1-85	CDK8	P49336	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P49674:9-277|KLIFS:187:positions1-85	CSNK1E	P49674	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P49759:161-477|KLIFS:223:positions1-85	CLK1	P49759	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P49760:163-479|KLIFS:224:positions1-85	CLK2	P49760	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P49761:156-472|KLIFS:225:positions1-85	CLK3	P49761	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
