entity_type	entity_id	display_name	component_id	component_size	family_or_scaffold	edge_policy
ligand	BIIVYFLTOXDAOV-YVEFUNNKSA-N	Flavopiridol	LSC005	1	O=c1cc(-c2ccccc2)oc2c(C3CCNCC3)cccc12	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	DEZZLWQELQORIU-RELWKKBWSA-N	GDC-0879	LSC014	1	N=C1CCc2cc(-c3c[nH]nc3-c3ccncc3)ccc21	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	LHNIIDJUOCFXAP-UHFFFAOYSA-N	GDC-0941	LSC027	1	c1cc(-c2nc(N3CCOCC3)c3sc(CN4CCNCC4)cc3n2)c2cn[nH]c2c1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	XGALLCVXEZPNRQ-UHFFFAOYSA-N	Gefitinib	LSC035	2	c1ccc(Nc2ncnc3ccc(OCCCN4CCOCC4)cc23)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	DESOLSKAHZZIGK-UHFFFAOYSA-N	GSK-1838705A	LSC013	1	c1ccc(Nc2nc(Nc3ccc4cc[nH]c4c3)nc3[nH]ccc23)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	ZHJGWYRLJUCMRT-QGZVFWFLSA-N	GSK-461364A	LSC065	1	c1ccc(COc2csc(-n3cnc4ccc(CN5CCNCC5)cc43)c2)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	KGPGFQWBCSZGEL-ZDUSSCGKSA-N	GSK-690693	LSC024	1	c1nonc1-c1nc2cncc(OC[C@H]3CCCNC3)c2[nH]1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	MYQAUKPBNJWPIE-UHFFFAOYSA-N	GW-2580	LSC032	1	c1ccc(COc2ccc(Cc3cncnc3)cc2)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	JWNPDZNEKVCWMY-VQHVLOKHSA-N	HKI-272	LSC023	1	c1ccc(COc2ccc(Nc3ccnc4ccccc34)cc2)nc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	KTUFNOKKBVMGRW-UHFFFAOYSA-N	Imatinib	LSC026	2	O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccc(CN2CCNCC2)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	HFNKQEVNSGCOJV-OAHLLOKOSA-N	INCB018424	LSC018	1	c1nc(-c2cnn(CC3CCCC3)c2)c2cc[nH]c2n1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	GUBJNPWVIUFSTR-UHFFFAOYSA-N	JNJ-28312141	LSC017	1	O=C(Nc1ccc(C2CCNCC2)cc1C1=CCCCC1)c1ncc[nH]1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	YYLKKYCXAOBSRM-JXMROGBWSA-N	KW-2449	LSC061	1	O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	BCFGMOOMADDAQU-UHFFFAOYSA-N	Lapatinib	LSC003	1	c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	AXRCEOKUDYDWLF-UHFFFAOYSA-N	LY-317615	LSC002	1	O=C1NC(=O)C(c2cn(C3CCN(Cc4ccccn4)CC3)c3ccccc23)=C1c1c[nH]c2ccccc12	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	ZCBUQCWBWNUWSU-SFHVURJKSA-N	LY-333531	LSC064	1	O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCOCCn1cc2c2ccccc21	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	ZNOLRTPMNMPLHY-UHFFFAOYSA-N	MLN-120B	LSC066	1	O=C(Nc1cccc2c1[nH]c1cnccc12)c1cccnc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	UXXQOJXBIDBUAC-UHFFFAOYSA-N	MLN-518	LSC052	1	O=C(Nc1ccccc1)N1CCN(c2ncnc3cc(OCCCN4CCCCC4)ccc23)CC1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	HHFBDROWDBDFBR-UHFFFAOYSA-N	MLN-8054	LSC019	1	c1ccc(Nc2ncc3c(n2)-c2ccccc2C(c2ccccc2)=NC3)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	HHZIURLSWUIHRB-UHFFFAOYSA-N	Nilotinib	LSC020	1	O=C(Nc1cccc(-n2ccnc2)c1)c1cccc(Nc2nccc(-c3cccnc3)n2)c1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	CUIHSIWYWATEQL-UHFFFAOYSA-N	Pazopanib	LSC009	1	c1ccc(Nc2nccc(Nc3ccc4c[nH]nc4c3)n2)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	VAARYSWULJUGST-UHFFFAOYSA-N	PD-173955	LSC053	1	O=c1[nH]c2nc(Nc3ccccc3)ncc2cc1-c1ccccc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	OYONTEXKYJZFHA-SSHUPFPWSA-N	PHA-665752	LSC038	1	O=C1Nc2ccc(S(=O)(=O)Cc3ccccc3)cc2/C1=C/c1cc(C(=O)N2CCC[C@@H]2CN2CCCC2)c[nH]1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	TUVCWJQQGGETHL-UHFFFAOYSA-N	PI-103	LSC045	1	c1ccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	BMGQWWVMWDBQGC-IIFHNQTCSA-N	PKC-412	LSC006	2	O=C(N[C@H]1CC2O[C@H](C1)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O)c1ccccc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	YZDJQTHVDDOVHR-UHFFFAOYSA-N	PLX-4720	LSC062	1	O=C(c1ccccc1)c1c[nH]c2ncccc12	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	MFAQYJIYDMLAIM-UHFFFAOYSA-N	PP-242	LSC028	1	c1ccc2[nH]c(-c3n[nH]c4ncncc34)cc2c1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	YCOYDOIWSSHVCK-UHFFFAOYSA-N	PTK-787	LSC060	1	c1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	NHHQJBCNYHBUSI-UHFFFAOYSA-N	R406	LSC033	1	O=C1COc2ccc(Nc3ccnc(Nc4ccccc4)n3)nc2N1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	JRNJNYBQQYBCLE-UHFFFAOYSA-N	R547	LSC022	1	O=C(c1ccccc1)c1cnc(NC2CCNCC2)nc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	BCZUAADEACICHN-UHFFFAOYSA-N	SGX-523	LSC004	1	c1cnc2ccc(Sc3nnc4ccc(-c5cn[nH]c5)nn34)cc2c1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	UBPYILGKFZZVDX-UHFFFAOYSA-N	SKI-606	LSC046	1	c1ccc(Nc2ccnc3cc(OCCCN4CCNCC4)ccc23)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	MLDQJTXFUGDVEO-UHFFFAOYSA-N	Sorafenib	LSC029	1	O=C(Nc1ccccc1)Nc1ccc(Oc2ccncc2)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	HKSZLNNOFSGOKW-FYTWVXJKSA-N	Staurosporine	LSC006	2	O=C1NCc2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC[C@H]3O1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	CTNPALGJUAXMMC-PMFHANACSA-N	SU-14813	LSC008	1	O=C1Nc2ccccc2/C1=C/c1cc(C(=O)NCCCN2CCOCC2)c[nH]1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	WINHZLLDWRZWRT-ATVHPVEESA-N	Sunitinib	LSC056	1	O=C1Nc2ccccc2/C1=C/c1ccc[nH]1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	QQWUGDVOUVUTOY-UHFFFAOYSA-N	TAE-684	LSC041	1	c1ccc(Nc2ccnc(Nc3ccc(N4CCC(N5CCNCC5)CC4)cc3)n2)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	UJIAQDJKSXQLIT-UHFFFAOYSA-N	TG-100-115	LSC049	1	c1ccc(-c2nc3cncnc3nc2-c2ccccc2)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	JOOXLOJCABQBSG-UHFFFAOYSA-N	TG-101348	LSC021	1	c1ccc(Nc2ccnc(Nc3ccc(OCCN4CCCC4)cc3)n2)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	UHTHHESEBZOYNR-UHFFFAOYSA-N	Vandetanib	LSC047	1	c1ccc(Nc2ncnc3cc(OCC4CCNCC4)ccc23)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	GCIKSSRWRFVXBI-UHFFFAOYSA-N	VX-680/MK-0457	LSC015	1	O=C(Nc1ccc(Sc2nc(Nc3cc[nH]n3)cc(N3CCNCC3)n2)cc1)C1CC1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	VEPKQEUBKLEPRA-UHFFFAOYSA-N	VX-745	LSC054	1	O=c1ncn2nc(Sc3ccccc3)ccc2c1-c1ccccc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
receptor	UniProt:Q2M2I8:46-315|KLIFS:277:positions1-85	AAK1	PTC010	4	NAK	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P42684:288-539|KLIFS:393:positions1-85	ABL2	PTC055	1	Abl	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q04771:208-502|KLIFS:516:positions1-85	ACVR1	PTC001	10	STKR	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P36896:207-497|KLIFS:517:positions1-85	ACVR1B	PTC001	10	STKR	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P27037:192-485|KLIFS:523:positions1-85	ACVR2A	PTC001	10	STKR	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q13705:190-480|KLIFS:524:positions1-85	ACVR2B	PTC001	10	STKR	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P37023:202-492|KLIFS:518:positions1-85	ACVRL1	PTC001	10	STKR	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P31749:150-408|KLIFS:1:positions1-85	AKT1	PTC049	3	Akt	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P31751:152-409|KLIFS:2:positions1-85	AKT2	PTC049	3	Akt	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q9Y243:148-405|KLIFS:3:positions1-85	AKT3	PTC049	3	Akt	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q9UM73:1116-1392|KLIFS:396:positions1-85	ALK	PTC037	3	ALK	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q13131:27-279|KLIFS:117:positions1-85	AMPK-alpha1	PTC006	17	CAMKL	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P54646:16-268|KLIFS:118:positions1-85	AMPK-alpha2	PTC006	17	CAMKL	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q8NFD2:22-289|KLIFS:515:positions1-85	ANKK1	PTC018	4	RIPK	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:O60285:55-306|KLIFS:130:positions1-85	ARK5	PTC006	17	CAMKL	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q99683:680-938|KLIFS:345:positions1-85	ASK1	PTC025	7	STE11	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:O95382:648-906|KLIFS:346:positions1-85	ASK2	PTC025	7	STE11	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:O14965:133-383|KLIFS:259:positions1-85	AURKA	PTC009	3	Aur	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q96GD4:77-327|KLIFS:261:positions1-85	AURKB	PTC009	3	Aur	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q9UQB9:43-293|KLIFS:260:positions1-85	AURKC	PTC009	3	Aur	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P30530:536-807|KLIFS:398:positions1-85	AXL	PTC048	3	Axl	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q9NSY1:51-316|KLIFS:278:positions1-85	BIKE	PTC010	4	NAK	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P51451:241-494|KLIFS:464:positions1-85	BLK	PTC032	11	Src	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P36894:234-525|KLIFS:519:positions1-85	BMPR1A	PTC001	10	STKR	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:O00238:204-494|KLIFS:520:positions1-85	BMPR1B	PTC001	10	STKR	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q13873:203-504|KLIFS:526:positions1-85	BMPR2	PTC001	10	STKR	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P51813:417-675|KLIFS:472:positions1-85	BMX	PTC054	5	Tec	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P15056:457-717|KLIFS:509:positions1-85	BRAF	PTC029	2	RAF	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q13882:191-445|KLIFS:468:positions1-85	BRK	PTC032	11	Src	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q8TDC3:34-285|KLIFS:120:positions1-85	BRSK1	PTC006	17	CAMKL	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q8IWQ3:19-270|KLIFS:119:positions1-85	BRSK2	PTC006	17	CAMKL	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q06187:402-655|KLIFS:473:positions1-85	BTK	PTC054	5	Tec	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q14012:20-276|KLIFS:109:positions1-85	CAMK1	PTC071	4	CAMK1	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q8IU85:23-279|KLIFS:110:positions1-85	CAMK1D	PTC071	4	CAMK1	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q96NX5:23-277|KLIFS:111:positions1-85	CAMK1G	PTC071	4	CAMK1	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q9UQM7:13-271|KLIFS:113:positions1-85	CAMK2A	PTC070	4	CAMK2	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q13554:14-272|KLIFS:114:positions1-85	CAMK2B	PTC070	4	CAMK2	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q13557:14-272|KLIFS:115:positions1-85	CAMK2D	PTC070	4	CAMK2	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q13555:14-272|KLIFS:116:positions1-85	CAMK2G	PTC070	4	CAMK2	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q16566:46-300|KLIFS:108:positions1-85	CAMK4	PTC071	4	CAMK1	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q8N5S9:128-409|KLIFS:266:positions1-85	CAMKK1	PTC079	2	CAMKK	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q96RR4:165-446|KLIFS:265:positions1-85	CAMKK2	PTC079	2	CAMKK	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:O14936:12-276|KLIFS:139:positions1-85	CASK	PTC008	1	CASK	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P24941:4-286|KLIFS:198:positions1-85	CDK2	PTC047	6	CDK	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q00526:4-286|KLIFS:199:positions1-85	CDK3	PTC047	6	CDK	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q00535:4-286|KLIFS:203:positions1-85	CDK5	PTC047	6	CDK	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P50613:12-295|KLIFS:204:positions1-85	CDK7	PTC047	6	CDK	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P49336:21-335|KLIFS:205:positions1-85	CDK8	PTC047	6	CDK	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P50750:19-315|KLIFS:207:positions1-85	CDK9	PTC047	6	CDK	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q00532:4-287|KLIFS:217:positions1-85	CDKL1	PTC023	4	CDKL	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q92772:4-287|KLIFS:218:positions1-85	CDKL2	PTC023	4	CDKL	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q8IVW4:4-286|KLIFS:219:positions1-85	CDKL3	PTC023	4	CDKL	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:O76039:13-297|KLIFS:216:positions1-85	CDKL5	PTC023	4	CDKL	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:O14757:9-265|KLIFS:121:positions1-85	CHEK1	PTC006	17	CAMKL	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:O96017:220-486|KLIFS:168:positions1-85	CHEK2	PTC027	1	RAD53	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:O14578:97-360|KLIFS:4:positions1-85	CIT	PTC004	7	DMPK	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P49759:161-477|KLIFS:223:positions1-85	CLK1	PTC059	4	CLK	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P49760:163-479|KLIFS:224:positions1-85	CLK2	PTC059	4	CLK	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P49761:156-472|KLIFS:225:positions1-85	CLK3	PTC059	4	CLK	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:Q9HAZ1:159-475|KLIFS:226:positions1-85	CLK4	PTC059	4	CLK	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
receptor	UniProt:P07333:582-910|KLIFS:449:positions1-85	CSF1R	PTC034	8	PDGFR	KLIFS family equality OR aligned KLIFS85 identity >=0.70; transitive closure; structure edge pending
