ligand_id	source_name	ligand_component_id	outer_fold	assignment_policy
KTEIFNKAUNYNJU-GFCCVEGCSA-N	Crizotinib	LSC025	9	label_blind_greedy_component_balance_v1
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	Dasatinib	LSC063	5	label_blind_greedy_component_balance_v1
AAKJLRGGTJKAMG-UHFFFAOYSA-N	Erlotinib	LSC001	3	label_blind_greedy_component_balance_v1
CXQHYVUVSFXTMY-UHFFFAOYSA-N	EXEL-2880/GSK-1363089	LSC011	5	label_blind_greedy_component_balance_v1
BIIVYFLTOXDAOV-YVEFUNNKSA-N	Flavopiridol	LSC005	7	label_blind_greedy_component_balance_v1
DEZZLWQELQORIU-RELWKKBWSA-N	GDC-0879	LSC014	8	label_blind_greedy_component_balance_v1
LHNIIDJUOCFXAP-UHFFFAOYSA-N	GDC-0941	LSC027	0	label_blind_greedy_component_balance_v1
XGALLCVXEZPNRQ-UHFFFAOYSA-N	Gefitinib	LSC035	2	label_blind_greedy_component_balance_v1
DESOLSKAHZZIGK-UHFFFAOYSA-N	GSK-1838705A	LSC013	7	label_blind_greedy_component_balance_v1
ZHJGWYRLJUCMRT-QGZVFWFLSA-N	GSK-461364A	LSC065	7	label_blind_greedy_component_balance_v1
KGPGFQWBCSZGEL-ZDUSSCGKSA-N	GSK-690693	LSC024	8	label_blind_greedy_component_balance_v1
MYQAUKPBNJWPIE-UHFFFAOYSA-N	GW-2580	LSC032	5	label_blind_greedy_component_balance_v1
JWNPDZNEKVCWMY-VQHVLOKHSA-N	HKI-272	LSC023	7	label_blind_greedy_component_balance_v1
KTUFNOKKBVMGRW-UHFFFAOYSA-N	Imatinib	LSC026	1	label_blind_greedy_component_balance_v1
HFNKQEVNSGCOJV-OAHLLOKOSA-N	INCB018424	LSC018	2	label_blind_greedy_component_balance_v1
GUBJNPWVIUFSTR-UHFFFAOYSA-N	JNJ-28312141	LSC017	1	label_blind_greedy_component_balance_v1
YYLKKYCXAOBSRM-JXMROGBWSA-N	KW-2449	LSC061	3	label_blind_greedy_component_balance_v1
BCFGMOOMADDAQU-UHFFFAOYSA-N	Lapatinib	LSC003	5	label_blind_greedy_component_balance_v1
AXRCEOKUDYDWLF-UHFFFAOYSA-N	LY-317615	LSC002	4	label_blind_greedy_component_balance_v1
ZCBUQCWBWNUWSU-SFHVURJKSA-N	LY-333531	LSC064	6	label_blind_greedy_component_balance_v1
ZNOLRTPMNMPLHY-UHFFFAOYSA-N	MLN-120B	LSC066	8	label_blind_greedy_component_balance_v1
UXXQOJXBIDBUAC-UHFFFAOYSA-N	MLN-518	LSC052	4	label_blind_greedy_component_balance_v1
HHFBDROWDBDFBR-UHFFFAOYSA-N	MLN-8054	LSC019	3	label_blind_greedy_component_balance_v1
HHZIURLSWUIHRB-UHFFFAOYSA-N	Nilotinib	LSC020	4	label_blind_greedy_component_balance_v1
CUIHSIWYWATEQL-UHFFFAOYSA-N	Pazopanib	LSC009	3	label_blind_greedy_component_balance_v1
VAARYSWULJUGST-UHFFFAOYSA-N	PD-173955	LSC053	5	label_blind_greedy_component_balance_v1
OYONTEXKYJZFHA-SSHUPFPWSA-N	PHA-665752	LSC038	0	label_blind_greedy_component_balance_v1
TUVCWJQQGGETHL-UHFFFAOYSA-N	PI-103	LSC045	7	label_blind_greedy_component_balance_v1
BMGQWWVMWDBQGC-IIFHNQTCSA-N	PKC-412	LSC006	0	label_blind_greedy_component_balance_v1
YZDJQTHVDDOVHR-UHFFFAOYSA-N	PLX-4720	LSC062	4	label_blind_greedy_component_balance_v1
MFAQYJIYDMLAIM-UHFFFAOYSA-N	PP-242	LSC028	1	label_blind_greedy_component_balance_v1
YCOYDOIWSSHVCK-UHFFFAOYSA-N	PTK-787	LSC060	2	label_blind_greedy_component_balance_v1
NHHQJBCNYHBUSI-UHFFFAOYSA-N	R406	LSC033	6	label_blind_greedy_component_balance_v1
JRNJNYBQQYBCLE-UHFFFAOYSA-N	R547	LSC022	6	label_blind_greedy_component_balance_v1
BCZUAADEACICHN-UHFFFAOYSA-N	SGX-523	LSC004	6	label_blind_greedy_component_balance_v1
UBPYILGKFZZVDX-UHFFFAOYSA-N	SKI-606	LSC046	8	label_blind_greedy_component_balance_v1
MLDQJTXFUGDVEO-UHFFFAOYSA-N	Sorafenib	LSC029	2	label_blind_greedy_component_balance_v1
HKSZLNNOFSGOKW-FYTWVXJKSA-N	Staurosporine	LSC006	0	label_blind_greedy_component_balance_v1
CTNPALGJUAXMMC-PMFHANACSA-N	SU-14813	LSC008	9	label_blind_greedy_component_balance_v1
WINHZLLDWRZWRT-ATVHPVEESA-N	Sunitinib	LSC056	8	label_blind_greedy_component_balance_v1
QQWUGDVOUVUTOY-UHFFFAOYSA-N	TAE-684	LSC041	3	label_blind_greedy_component_balance_v1
UJIAQDJKSXQLIT-UHFFFAOYSA-N	TG-100-115	LSC049	1	label_blind_greedy_component_balance_v1
JOOXLOJCABQBSG-UHFFFAOYSA-N	TG-101348	LSC021	5	label_blind_greedy_component_balance_v1
UHTHHESEBZOYNR-UHFFFAOYSA-N	Vandetanib	LSC047	9	label_blind_greedy_component_balance_v1
GCIKSSRWRFVXBI-UHFFFAOYSA-N	VX-680/MK-0457	LSC015	9	label_blind_greedy_component_balance_v1
VEPKQEUBKLEPRA-UHFFFAOYSA-N	VX-745	LSC054	6	label_blind_greedy_component_balance_v1
