context	observation_id	construct_group_id	union_component_id	primary_fold	random_pair_fold
full	RCSB-5O55-9L5-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-5D7X-XZ8-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-5O5A-9LN-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-5EPS-5QX-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-4O76-1M3-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-7MRA-ZMJ-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-5D26-L28-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-5EGU-5NQ-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-6TPZ-NV2-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-6FO5-DZH-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-7AXR-S7T-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-6FSY-E5Q-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-4PS5-2TA-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-7MR9-ZMM-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-5D3L-57F-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-6Q3Z-HG8-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-5EIS-5OU-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-5D3T-56Y-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-6Q3Y-HG5-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-5O1E-9GT-KD	construct-004-a02c0b37ee39	union-ab22dcc808e7	union-ab22dcc808e7	random-02
full	RCSB-5O1G-9GK-KD	construct-004-a02c0b37ee39	union-ab22dcc808e7	union-ab22dcc808e7	random-01
full	RCSB-4AGQ-P96-KD	construct-004-a02c0b37ee39	union-ab22dcc808e7	union-ab22dcc808e7	random-05
full	RCSB-5AOJ-Y0V-KD	construct-004-a02c0b37ee39	union-ab22dcc808e7	union-ab22dcc808e7	random-05
full	RCSB-5O1D-9GW-KD	construct-004-a02c0b37ee39	union-ab22dcc808e7	union-ab22dcc808e7	random-04
full	RCSB-5O1C-9GZ-KD	construct-004-a02c0b37ee39	union-ab22dcc808e7	union-ab22dcc808e7	random-02
full	RCSB-5O1I-9GH-KD	construct-004-a02c0b37ee39	union-ab22dcc808e7	union-ab22dcc808e7	random-03
full	RCSB-5O1H-9GN-KD	construct-004-a02c0b37ee39	union-ab22dcc808e7	union-ab22dcc808e7	random-01
full	RCSB-5O1B-9H2-KD	construct-004-a02c0b37ee39	union-ab22dcc808e7	union-ab22dcc808e7	random-03
full	RCSB-6RQB-Q47-KD	construct-005-6f4aa0a92e90	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-6RQ6-R2H-KD	construct-005-6f4aa0a92e90	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-6RQ0-KE2-KD	construct-005-6f4aa0a92e90	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-6RQ9-KEQ-KD	construct-005-6f4aa0a92e90	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-6RQD-KEW-KD	construct-005-6f4aa0a92e90	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-6RQ1-KE5-KD	construct-005-6f4aa0a92e90	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-6RQ8-KEH-KD	construct-005-6f4aa0a92e90	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-6RQ5-KEB-KD	construct-005-6f4aa0a92e90	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-6UIK-Q8M-KD	construct-006-4c5802bc11cc	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-6U8O-Q1G-KD	construct-006-4c5802bc11cc	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-6UIF-Q8P-KD	construct-006-4c5802bc11cc	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-6UJ4-Q8S-KD	construct-006-4c5802bc11cc	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-6UOZ-QF1-KD	construct-006-4c5802bc11cc	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-6U5M-Q0S-KD	construct-006-4c5802bc11cc	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-6U8L-Q1P-KD	construct-006-4c5802bc11cc	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-5U4D-XLO-KD	construct-007-c863deb44383	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-5U4F-IWW-KD	construct-007-c863deb44383	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-5U49-S2L-KD	construct-007-c863deb44383	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-5U4E-XLB-KD	construct-007-c863deb44383	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-5U48-S4B-KD	construct-007-c863deb44383	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-5U4A-7VG-KD	construct-007-c863deb44383	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-5U4C-XBS-KD	construct-007-c863deb44383	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-3SHY-5FO-KD	construct-008-60863bf56b3f	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-4OEX-5EO-KD	construct-008-60863bf56b3f	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-4G2W-NI0-KD	construct-008-60863bf56b3f	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-4OEW-5IO-KD	construct-008-60863bf56b3f	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-6IWI-B0C-KD	construct-008-60863bf56b3f	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-3SHZ-5CO-KD	construct-008-60863bf56b3f	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-6I0Z-GZQ-KD	construct-009-2b786a6db716	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-6I13-H0Q-KD	construct-009-2b786a6db716	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-6I11-H0H-KD	construct-009-2b786a6db716	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-6I14-GZN-KD	construct-009-2b786a6db716	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-4B33-1NP-KD	construct-010-2fedea507c74	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-4B32-03V-KD	construct-010-2fedea507c74	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-4B3D-5MI-KD	construct-010-2fedea507c74	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-4B2L-TR7-KD	construct-010-2fedea507c74	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-4B34-ABV-KD	construct-010-2fedea507c74	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-6QLO-J5E-KD	construct-011-4f6fb808c4a8	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-6QLT-J5W-KD	construct-011-4f6fb808c4a8	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-6QLQ-J4E-KD	construct-011-4f6fb808c4a8	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-6QLN-J5Q-KD	construct-011-4f6fb808c4a8	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-6QLU-J62-KD	construct-011-4f6fb808c4a8	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-4TZ8-39U-KD	construct-012-90b947063061	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-6HIE-G7Q-KD	construct-012-90b947063061	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-5A5Q-6XC-KD	construct-012-90b947063061	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-6S57-KVT-KD	construct-012-90b947063061	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-8WGS-WGH-KD	construct-013-989a0da4f5c7	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-8II2-R75-KD	construct-013-989a0da4f5c7	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-8II3-PKK-KD	construct-013-989a0da4f5c7	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-8WGT-WGJ-KD	construct-013-989a0da4f5c7	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-8II4-PKQ-KD	construct-013-989a0da4f5c7	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-6FTZ-E7E-KD	construct-014-d42e073edd05	union-863b44428cc1	union-863b44428cc1	random-01
full	RCSB-6FUH-E88-KD	construct-014-d42e073edd05	union-863b44428cc1	union-863b44428cc1	random-04
full	RCSB-6FUG-E85-KD	construct-014-d42e073edd05	union-863b44428cc1	union-863b44428cc1	random-03
full	RCSB-5MT4-M7O-KD	construct-014-d42e073edd05	union-863b44428cc1	union-863b44428cc1	random-02
full	RCSB-6FUI-E7W-KD	construct-014-d42e073edd05	union-863b44428cc1	union-863b44428cc1	random-05
full	RCSB-5LLE-V51-KD	construct-015-e6a24c903c1e	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-6GOT-F6W-KD	construct-015-e6a24c903c1e	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-5LLG-VD9-KD	construct-015-e6a24c903c1e	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-4QSB-EWY-KD	construct-015-e6a24c903c1e	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-5NLK-92E-KD	construct-016-fad0d613c720	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-5MPZ-4I8-KD	construct-016-fad0d613c720	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-5H85-5XS-KD	construct-016-fad0d613c720	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-5MQE-PKU-KD	construct-016-fad0d613c720	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-5MME-8Q6-KD	construct-016-fad0d613c720	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-7AVT-S3T-KD	construct-017-11db684aee95	union-13362b01fedf	union-13362b01fedf	random-01
full	RCSB-7AVS-S3Q-KD	construct-017-11db684aee95	union-13362b01fedf	union-13362b01fedf	random-04
full	RCSB-7AVU-S3Z-KD	construct-017-11db684aee95	union-13362b01fedf	union-13362b01fedf	random-02
full	RCSB-7AVV-S2W-KD	construct-017-11db684aee95	union-13362b01fedf	union-13362b01fedf	random-05
full	RCSB-6PDH-OAV-KD	construct-018-17684ef8ed95	union-02cdef6a2cc8	union-02cdef6a2cc8	random-04
full	RCSB-6WHD-KFS-KD	construct-018-17684ef8ed95	union-02cdef6a2cc8	union-02cdef6a2cc8	random-01
full	RCSB-6PG1-O7P-KD	construct-018-17684ef8ed95	union-02cdef6a2cc8	union-02cdef6a2cc8	random-05
full	RCSB-6PLI-ONY-KD	construct-018-17684ef8ed95	union-02cdef6a2cc8	union-02cdef6a2cc8	random-03
full	RCSB-5BOJ-4TX-KD	construct-019-1be38543a2db	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-4WO0-AGI-KD	construct-019-1be38543a2db	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-4QXV-LU2-KD	construct-019-1be38543a2db	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-3RJW-CIQ-KD	construct-020-2acb35da5928	union-42c7c765b1fb	union-42c7c765b1fb	random-03
full	RCSB-5TTF-7KZ-KD	construct-020-2acb35da5928	union-42c7c765b1fb	union-42c7c765b1fb	random-01
full	RCSB-7T7L-G4R-KD	construct-020-2acb35da5928	union-42c7c765b1fb	union-42c7c765b1fb	random-02
full	RCSB-7X73-J26-KD	construct-020-2acb35da5928	union-42c7c765b1fb	union-42c7c765b1fb	random-05
full	RCSB-4K9X-8AW-KD	construct-022-46b8fca0fc9d	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-4K9V-6AW-KD	construct-022-46b8fca0fc9d	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-4D7D-PKT-KD	construct-022-46b8fca0fc9d	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-4D78-J9K-KD	construct-022-46b8fca0fc9d	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-188L-OXE-KD	construct-023-68918bffe9f0	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-183L-DEN-KD	construct-023-68918bffe9f0	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-185L-IND-KD	construct-023-68918bffe9f0	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-184L-I4B-KD	construct-023-68918bffe9f0	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-5J1R-6FG-KD	construct-025-8861b7ad0d67	union-6f910a6bd525	union-6f910a6bd525	random-02
full	RCSB-4MP7-PFT-KD	construct-026-997c3e281e6e	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-4MPE-PV8-KD	construct-026-997c3e281e6e	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-4MP2-PV1-KD	construct-026-997c3e281e6e	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-5J71-P35-KD	construct-026-997c3e281e6e	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-5E73-UO1-KD	construct-027-baf0440a45db	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-5MGE-7MX-KD	construct-027-baf0440a45db	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-5MGF-7MW-KD	construct-027-baf0440a45db	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-5X4O-YAM-KD	construct-028-c2d68d73bda9	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-5X9O-80R-KD	construct-028-c2d68d73bda9	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-5X4P-7ZO-KD	construct-028-c2d68d73bda9	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-5X4N-7ZL-KD	construct-028-c2d68d73bda9	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-5MGK-7MW-KD	construct-029-13705e998f4e	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-4AJK-88S-KD	construct-030-2c56ee04d79a	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-4AL4-W7E-KD	construct-030-2c56ee04d79a	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-4AJN-88V-KD	construct-030-2c56ee04d79a	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-3B25-B2K-KD	construct-031-37b3e0822467	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-3B27-B2T-KD	construct-031-37b3e0822467	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-3B24-B2J-KD	construct-031-37b3e0822467	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-6T0M-GOZ-KD	construct-033-4212e6c5e472	union-863b44428cc1	union-863b44428cc1	random-02
full	RCSB-6T0P-M6Q-KD	construct-033-4212e6c5e472	union-863b44428cc1	union-863b44428cc1	random-03
full	RCSB-6T5W-J5K-KD	construct-033-4212e6c5e472	union-863b44428cc1	union-863b44428cc1	random-01
full	RCSB-3UNZ-0BZ-KD	construct-034-4b9e20d92aa0	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-3UOD-0C3-KD	construct-034-4b9e20d92aa0	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-3UO5-0BX-KD	construct-034-4b9e20d92aa0	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-7CAJ-FNC-KD	construct-035-4f0c729feeb4	union-af34b2069870	union-af34b2069870	random-03
full	RCSB-7C9N-FN9-KD	construct-035-4f0c729feeb4	union-af34b2069870	union-af34b2069870	random-02
full	RCSB-7CJT-G09-KD	construct-035-4f0c729feeb4	union-af34b2069870	union-af34b2069870	random-04
full	RCSB-6BGV-DQG-KD	construct-037-682d0d6b3d7a	union-60607bf31a0c	union-60607bf31a0c	random-01
full	RCSB-6BH2-90V-KD	construct-037-682d0d6b3d7a	union-60607bf31a0c	union-60607bf31a0c	random-02
full	RCSB-6BH0-DO1-KD	construct-037-682d0d6b3d7a	union-60607bf31a0c	union-60607bf31a0c	random-05
full	RCSB-5F2P-5TY-KD	construct-039-90fec4b83698	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-5F25-5TU-KD	construct-039-90fec4b83698	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-4Z6I-4L3-KD	construct-039-90fec4b83698	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-7Z62-IEC-KD	construct-040-ac2363267f3b	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-4LK7-GAL-KD	construct-040-ac2363267f3b	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-7Z63-IE3-KD	construct-040-ac2363267f3b	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-3C49-KU8-KD	construct-041-af8addec2ede	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-3CE0-P34-KD	construct-041-af8addec2ede	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-8G44-ZU9-KD	construct-042-b818769d59cf	union-4c805334d5db	union-4c805334d5db	random-02
full	RCSB-8G43-ZU6-KD	construct-042-b818769d59cf	union-4c805334d5db	union-4c805334d5db	random-03
full	RCSB-6CED-EYA-KD	construct-042-b818769d59cf	union-4c805334d5db	union-4c805334d5db	random-01
full	RCSB-7MS5-ZOG-KD	construct-043-bfab01cca0a7	union-4c805334d5db	union-4c805334d5db	random-05
full	RCSB-7MS6-ZPV-KD	construct-043-bfab01cca0a7	union-4c805334d5db	union-4c805334d5db	random-04
full	RCSB-6NFT-KKG-KD	construct-043-bfab01cca0a7	union-4c805334d5db	union-4c805334d5db	random-01
full	RCSB-8AE7-LVU-KD	construct-046-e314686107a8	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-5CSP-54G-KD	construct-046-e314686107a8	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-8AEC-LW3-KD	construct-046-e314686107a8	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-5CU2-54G-KD	construct-047-02852c250924	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-7A6W-R3E-KD	construct-049-226bc9b1a66a	union-0d3067ade0f6	union-0d3067ade0f6	random-01
full	RCSB-7A6X-R3B-KD	construct-049-226bc9b1a66a	union-0d3067ade0f6	union-0d3067ade0f6	random-02
full	RCSB-5VD0-8X7-KD	construct-050-27409f179f54	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-5VD3-H8H-KD	construct-050-27409f179f54	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-6T1J-M7T-KD	construct-051-31c871f0f628	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-6T1L-M7N-KD	construct-051-31c871f0f628	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-4F7V-J1D-KD	construct-053-41d32cbef056	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-6HQY-GKW-KD	construct-054-50c213a0f7bf	union-4c805334d5db	union-4c805334d5db	random-04
full	RCSB-6HRQ-GM5-KD	construct-054-50c213a0f7bf	union-4c805334d5db	union-4c805334d5db	random-03
full	RCSB-4LVB-20N-KD	construct-055-55e07f4ed0ce	union-ac38a95655be	union-ac38a95655be	random-01
full	RCSB-4LV9-20J-KD	construct-055-55e07f4ed0ce	union-ac38a95655be	union-ac38a95655be	random-05
full	RCSB-5IA5-GV0-KD	construct-056-5e2cf644e754	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-5IA4-88Z-KD	construct-056-5e2cf644e754	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-5LVN-ADN-KD	construct-057-64fd661d958f	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-4RQK-R1S-KD	construct-057-64fd661d958f	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-6EQ2-BU8-KD	construct-058-7dd2d4fe658a	union-2c3dbff37a32	union-2c3dbff37a32	random-01
full	RCSB-6EQ6-EV2-KD	construct-058-7dd2d4fe658a	union-2c3dbff37a32	union-2c3dbff37a32	random-02
full	RCSB-5H8E-5Y3-KD	construct-061-920a294dd28c	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-5H8B-5Y2-KD	construct-061-920a294dd28c	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-6RL9-SAN-KD	construct-062-9efbec4633b7	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-6SD7-L7T-KD	construct-062-9efbec4633b7	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-3B9L-AZZ-KD	construct-063-a35bb68136a5	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-4Z69-DIF-KD	construct-063-a35bb68136a5	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-3BUH-AED-KD	construct-064-ad692e3f3920	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-3BUG-AEH-KD	construct-064-ad692e3f3920	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-2XHT-C0Y-KD	construct-065-c6820d7c5ca9	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-2XDL-2DL-KD	construct-065-c6820d7c5ca9	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-5VSD-9HJ-KD	construct-066-cf6ef633d328	union-42c7c765b1fb	union-42c7c765b1fb	random-03
full	RCSB-5VSF-9HG-KD	construct-066-cf6ef633d328	union-42c7c765b1fb	union-42c7c765b1fb	random-04
full	RCSB-5OIT-9WH-KD	construct-068-e4ce5a06fca5	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-5OIS-9WK-KD	construct-068-e4ce5a06fca5	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-6X4P-UOG-KD	construct-069-eae4b87a5d0e	union-7f9569df7dfc	union-7f9569df7dfc	random-02
full	RCSB-6X4N-UOD-KD	construct-069-eae4b87a5d0e	union-7f9569df7dfc	union-7f9569df7dfc	random-03
full	RCSB-8UC9-QBC-KD	construct-072-0883ef7c2bf6	union-13362b01fedf	union-13362b01fedf	random-04
full	RCSB-7ER7-A80-KD	construct-073-08de83e846b6	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-5T9W-78E-KD	construct-075-11667023dc36	union-7f9569df7dfc	union-7f9569df7dfc	random-01
full	RCSB-6UYC-QLV-KD	construct-077-14436d5c0612	union-76b89b47cc6b	union-76b89b47cc6b	random-02
full	RCSB-6TD2-N2K-KD	construct-078-1cc8ce95bee6	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-6HSF-GKW-KD	construct-080-212de0c2d87d	union-4c805334d5db	union-4c805334d5db	random-04
full	RCSB-6T9C-MX8-KD	construct-081-24e4a9c7d2a9	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-7LPK-Y9P-KD	construct-082-250a0b13b064	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-7U3G-L6F-KD	construct-083-2c0e2584aae9	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-4AIC-FOM-KD	construct-084-32e392306ff8	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-6EPA-BNQ-KD	construct-085-3502b9d06d9b	union-9ad224f6353e	union-9ad224f6353e	random-04
