qa_id	source_row	source_name	affinity_matrix_name	publication_doi	publication_structure_pdf_page	candidate_parent_smiles	candidate_parent_inchikey	pubchem_cid	chembl_ids	prior_stereochemistry_disposition	prior_salt_disposition	prior_protomer_policy	evidence_urls	automated_roundtrip_status	secondary_connectivity_decision	secondary_stereochemistry_decision	secondary_salt_parent_decision	secondary_protomer_decision	secondary_reviewer_name	secondary_review_date	secondary_notes
DQA-A30FB1AEBE2B	12	AZD-6244/ARRY-886	AZD-6244/ARRY-886	10.1038/nbt.1990	11	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21	CYOHGALHFOKKQC-UHFFFAOYSA-N	10127622	CHEMBL1614701	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/10127622;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1614701	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-CEB738E624F9	13	BI-2536	BI-2536	10.1038/nbt.1990	11	CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1	XQVVPGYIWAGRNI-JOCHJYFZSA-N	11364421	CHEMBL513909	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/11364421;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL513909	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-CA032EFE4C5F	15	BIBW-2992	BIBW-2992	10.1038/nbt.1990	11	CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1	ULXXDDBFHOBEHA-CWDCEQMOSA-N	10184653	CHEMBL1173655	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/10184653;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1173655	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-AB983A1769D8	16	BIRB-796	BIRB-796	10.1038/nbt.1990	12	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1	MVCOAUNKQVWQHZ-UHFFFAOYSA-N	156422	CHEMBL103667	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/156422;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL103667	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-16C2CC8B471E	17	BMS-345541	BMS-345541	10.1038/nbt.1990	12	Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1	PSPFQEBFYXJZEV-UHFFFAOYSA-N	9926054		no_unresolved_stereogenic_element	hydrochloride_counterion_removed_to_publication_parent	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/9926054	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-6339116E8EB2	18	BMS-387032/SNS-032	BMS-387032/SNS-032	10.1038/nbt.1990	12	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1	OUSFTKFNBAZUKL-UHFFFAOYSA-N	3025986	CHEMBL296468	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/3025986;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL296468	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-83DD7D6B26BA	19	BMS-540215	BMS-540215	10.1038/nbt.1990	12	Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1	WCWUXEGQKLTGDX-LLVKDONJSA-N	11234052	CHEMBL377300	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/11234052;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL377300	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-8F50A2824D2C	20	CEP-701	CEP-701	10.1038/nbt.1990	12	C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O	UIARLYUEJFELEN-LROUJFHJSA-N	126565	CHEMBL603469	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/126565;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL603469	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-428625C81E79	21	CHIR-258/TKI-258	CHIR-258/TKI-258	10.1038/nbt.1990	12	CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1	PIQCTGMSNWUMAF-UHFFFAOYSA-N	135398510	CHEMBL522892	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/135398510;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL522892	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-0DA50564D637	22	CHIR-265/RAF-265	CHIR-265/RAF-265	10.1038/nbt.1990	12	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21	YABJJWZLRMPFSI-UHFFFAOYSA-N	11656518	CHEMBL558752	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/11656518;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL558752	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-07A9AFB44A09	23	CI-1033	CI-1033	10.1038/nbt.1990	13	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1	OMZCMEYTWSXEPZ-UHFFFAOYSA-N	156414	CHEMBL31965	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/156414;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL31965	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-44C5332123A3	24	CI-1040	CI-1040	10.1038/nbt.1990	13	O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl	GFMMXOIFOQCCGU-UHFFFAOYSA-N	6918454	CHEMBL105442	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/6918454;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL105442	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-68899999B0B6	25	CP-690550	CP-690550	10.1038/nbt.1990	13	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12	UJLAWZDWDVHWOW-YPMHNXCESA-N	9926791	CHEMBL221959	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/9926791;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL221959	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-440D289F0444	26	Crizotinib	Crizotinib	10.1038/nbt.1990	13	C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl	KTEIFNKAUNYNJU-GFCCVEGCSA-N	11626560	CHEMBL601719	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/11626560;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL601719	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-9D3428A12F61	27	Dasatinib	Dasatinib	10.1038/nbt.1990	13	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1	ZBNZXTGUTAYRHI-UHFFFAOYSA-N	3062316		no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/3062316	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-7FD6FFEAD28A	28	Erlotinib	Erlotinib	10.1038/nbt.1990	13	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	AAKJLRGGTJKAMG-UHFFFAOYSA-N	176870	CHEMBL553	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/176870;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL553	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-959E082D31CC	29	EXEL-2880/GSK-1363089	EXEL-2880/GSK-1363089	10.1038/nbt.1990	13	COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1	CXQHYVUVSFXTMY-UHFFFAOYSA-N	42642645	CHEMBL1230609	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/42642645;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1230609	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-99886D1836C2	30	Flavopiridol	Flavopiridol	10.1038/nbt.1990	14	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1	BIIVYFLTOXDAOV-YVEFUNNKSA-N	5287969	CHEMBL428690	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/5287969;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL428690	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-AF75C11B54B8	31	GDC-0879	GDC-0879	10.1038/nbt.1990	14	OCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1	DEZZLWQELQORIU-RELWKKBWSA-N	11717001	CHEMBL525191	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/11717001;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL525191	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-74EC820133A3	32	GDC-0941	GDC-0941	10.1038/nbt.1990	14	CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1	LHNIIDJUOCFXAP-UHFFFAOYSA-N	17755052	CHEMBL521851	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/17755052;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL521851	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-3BA341933466	33	Gefitinib	Gefitinib	10.1038/nbt.1990	14	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1	XGALLCVXEZPNRQ-UHFFFAOYSA-N	123631	CHEMBL939	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/123631;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL939	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-184B9DC89873	34	GSK-1838705A	GSK-1838705A	10.1038/nbt.1990	14	CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3c(ccn3C(=O)CN(C)C)cc2OC)nc2[nH]ccc12	DESOLSKAHZZIGK-UHFFFAOYSA-N	25113169		no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/25113169	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-6410C44C0089	35	GSK-461364A	GSK-461364A	10.1038/nbt.1990	14	C[C@@H](Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F	ZHJGWYRLJUCMRT-QGZVFWFLSA-N	15983966	CHEMBL1908394	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/15983966;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1908394	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-F2AE317B51D5	36	GSK-690693	GSK-690693	10.1038/nbt.1990	14	CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21	KGPGFQWBCSZGEL-ZDUSSCGKSA-N	16725726	CHEMBL494089	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/16725726;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL494089	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-1645960ED417	37	GW-2580	GW-2580	10.1038/nbt.1990	15	COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1	MYQAUKPBNJWPIE-UHFFFAOYSA-N	11617559		no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/11617559	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-0472610E5E1D	38	HKI-272	HKI-272	10.1038/nbt.1990	15	CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C	JWNPDZNEKVCWMY-VQHVLOKHSA-N	9915743	CHEMBL180022	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/9915743;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL180022	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-0FC7649124ED	39	Imatinib	Imatinib	10.1038/nbt.1990	15	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1	KTUFNOKKBVMGRW-UHFFFAOYSA-N	5291	CHEMBL941	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/5291;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL941	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-101C2F780070	40	INCB018424	INCB18424	10.1038/nbt.1990	15	N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1	HFNKQEVNSGCOJV-OAHLLOKOSA-N	25126798	CHEMBL1789941	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/25126798;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1789941	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-2BDB06F07F27	41	JNJ-28312141	JNJ-28312141	10.1038/nbt.1990	15	CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3ncc(C#N)[nH]3)c(C3=CCCCC3)c2)CC1	GUBJNPWVIUFSTR-UHFFFAOYSA-N	44551653		no_unresolved_stereogenic_element	hydrochloride_counterion_removed_to_publication_parent	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/44551653	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-585FCC1A5A28	43	KW-2449	KW-2449	10.1038/nbt.1990	15	O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1	YYLKKYCXAOBSRM-JXMROGBWSA-N	11427553	CHEMBL1908397	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/11427553;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1908397	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-524000A5DE83	44	Lapatinib	Lapatinib	10.1038/nbt.1990	16	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1	BCFGMOOMADDAQU-UHFFFAOYSA-N	208908	CHEMBL554	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/208908;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL554	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-250569514D25	45	LY-317615	LY-317615	10.1038/nbt.1990	16	Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21	AXRCEOKUDYDWLF-UHFFFAOYSA-N	176167	CHEMBL300138	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/176167;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL300138	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-3DA066624EC7	46	LY-333531	LY-333531	10.1038/nbt.1990	16	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1	ZCBUQCWBWNUWSU-SFHVURJKSA-N	153999	CHEMBL91829	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/153999;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL91829	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-8DD3014E47EF	47	MLN-120B	MLN-120B	10.1038/nbt.1990	16	COc1c(Cl)cc2c([nH]c3cnccc32)c1NC(=O)c1cccnc1C	ZNOLRTPMNMPLHY-UHFFFAOYSA-N	9929127		no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/9929127	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-A778D6B081A1	48	MLN-518	MLN-518	10.1038/nbt.1990	16	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1	UXXQOJXBIDBUAC-UHFFFAOYSA-N	3038522	CHEMBL124660	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/3038522;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL124660	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-B4AA02975EC0	49	MLN-8054	MLN-8054	10.1038/nbt.1990	16	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1	HHFBDROWDBDFBR-UHFFFAOYSA-N	11712649	CHEMBL259084	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/11712649;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL259084	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-F6CB730767A6	50	Nilotinib	Nilotinib	10.1038/nbt.1990	16	Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1	HHZIURLSWUIHRB-UHFFFAOYSA-N	644241	CHEMBL255863	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/644241;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL255863	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-B49633855638	51	Pazopanib	Pazopanib	10.1038/nbt.1990	17	Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O	CUIHSIWYWATEQL-UHFFFAOYSA-N	10113978	CHEMBL477772	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/10113978;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL477772	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
