source_row	source_name	affinity_matrix_name	source_name_matches_matrix	alternative_name	mapping_state	selected_query	pubchem_cid	pubchem_title	pubchem_inchikey	pubchem_smiles	review_status	reviewer	primary_identity_evidence	independent_identity_evidence	stereochemistry_status	notes
13	BI-2536	BI-2536	true		candidate_requires_manual_verification	BI-2536	11364421	Bi 2536	XQVVPGYIWAGRNI-JOCHJYFZSA-N	CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C	pending				pending	
14	BIBF-1120 (derivative)	BIBF-1120 (derivative)	true		quarantined_ambiguous_source_identity						quarantined				unresolved	
15	BIBW-2992	BIBW-2992	true	Afatinib	candidate_requires_manual_verification	Afatinib	10184653	Afatinib	ULXXDDBFHOBEHA-CWDCEQMOSA-N	CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4	pending				pending	
16	BIRB-796	BIRB-796	true	Doramapimod	candidate_requires_manual_verification	Doramapimod	156422	Doramapimod	MVCOAUNKQVWQHZ-UHFFFAOYSA-N	CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5	pending				pending	
17	BMS-345541	BMS-345541	true		candidate_requires_manual_verification	BMS-345541	9926054	Bms 345541	MIDKPVLYXNLFGZ-UHFFFAOYSA-N	CC1=CC2=C(C=C1)N=C(C3=NC=C(N23)C)NCCN.Cl	pending				pending	
18	BMS-387032/SNS-032	BMS-387032/SNS-032	true		candidate_requires_manual_verification	BMS-387032	3025986	N-(5-(((5-(1,1-Dimethylethyl)-2-oxazolyl)methyl)thio)-2-thiazolyl)-4-piperidinecarboxamide	OUSFTKFNBAZUKL-UHFFFAOYSA-N	CC(C)(C)C1=CN=C(O1)CSC2=CN=C(S2)NC(=O)C3CCNCC3	pending				pending	
19	BMS-540215	BMS-540215	true	Brivanib	candidate_requires_manual_verification	Brivanib	11234052	Brivanib	WCWUXEGQKLTGDX-LLVKDONJSA-N	CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OC[C@@H](C)O)C	pending				pending	
20	CEP-701	CEP-701	true	Lestaurtinib	candidate_requires_manual_verification	Lestaurtinib	126565	Lestaurtinib	UIARLYUEJFELEN-LROUJFHJSA-N	C[C@@]12[C@](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O	pending				pending	
21	CHIR-258/TKI-258	CHIR-258/TKI-258	true	Dovitinib	candidate_requires_manual_verification	Dovitinib	135398510	Dovitinib	PIQCTGMSNWUMAF-UHFFFAOYSA-N	CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=C(C5=C(C=CC=C5F)NC4=O)N	pending				pending	
22	CHIR-265/RAF-265	CHIR-265/RAF-265	true		candidate_requires_manual_verification	CHIR-265	11656518	Raf265	YABJJWZLRMPFSI-UHFFFAOYSA-N	CN1C2=C(C=C(C=C2)OC3=CC(=NC=C3)C4=NC=C(N4)C(F)(F)F)N=C1NC5=CC=C(C=C5)C(F)(F)F	pending				pending	
23	CI-1033	CI-1033	true	Canertinib	candidate_requires_manual_verification	Canertinib	156414	Canertinib	OMZCMEYTWSXEPZ-UHFFFAOYSA-N	C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4	pending				pending	
24	CI-1040	CI-1040	true		candidate_requires_manual_verification	CI-1040	6918454	Ci-1040	GFMMXOIFOQCCGU-UHFFFAOYSA-N	C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl	pending				pending	
25	CP-690550	CP-690550	true	Tofacitinib	candidate_requires_manual_verification	Tofacitinib	9926791	Tofacitinib	UJLAWZDWDVHWOW-YPMHNXCESA-N	C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N	pending				pending	
26	Crizotinib	Crizotinib	true		candidate_requires_manual_verification	Crizotinib	11626560	Crizotinib	KTEIFNKAUNYNJU-GFCCVEGCSA-N	C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N	pending				pending	
27	Dasatinib	Dasatinib	true		candidate_requires_manual_verification	Dasatinib	3062316	Dasatinib	ZBNZXTGUTAYRHI-UHFFFAOYSA-N	CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO	pending				pending	
28	Erlotinib	Erlotinib	true		candidate_requires_manual_verification	Erlotinib	176870	Erlotinib	AAKJLRGGTJKAMG-UHFFFAOYSA-N	COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC	pending				pending	
29	EXEL-2880/GSK-1363089	EXEL-2880/GSK-1363089	true	Foretinib	candidate_requires_manual_verification	Foretinib	42642645	Foretinib	CXQHYVUVSFXTMY-UHFFFAOYSA-N	COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)C5(CC5)C(=O)NC6=CC=C(C=C6)F)F	pending				pending	
30	Flavopiridol	Flavopiridol	true	Alvocidib	candidate_requires_manual_verification	Alvocidib	5287969	Alvocidib	BIIVYFLTOXDAOV-YVEFUNNKSA-N	CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O	pending				pending	
31	GDC-0879	GDC-0879	true		candidate_requires_manual_verification	GDC-0879	11717001	Gdc-0879	DEZZLWQELQORIU-RELWKKBWSA-N	C1C/C(=N\O)/C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)CCO	pending				pending	
32	GDC-0941	GDC-0941	true		candidate_requires_manual_verification	GDC-0941	17755052	Pictilisib	LHNIIDJUOCFXAP-UHFFFAOYSA-N	CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6	pending				pending	
33	Gefitinib	Gefitinib	true		candidate_requires_manual_verification	Gefitinib	123631	Gefitinib	XGALLCVXEZPNRQ-UHFFFAOYSA-N	COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4	pending				pending	
34	GSK-1838705A	GSK-1838705A	true		candidate_requires_manual_verification	GSK-1838705A	25113169	Gsk-1838705A	DESOLSKAHZZIGK-UHFFFAOYSA-N	CNC(=O)C1=C(C=CC=C1F)NC2=NC(=NC3=C2C=CN3)NC4=C(C=C5C=CN(C5=C4)C(=O)CN(C)C)OC	pending				pending	
35	GSK-461364A	GSK-461364A	true		candidate_requires_manual_verification	GSK-461364A	15983966	5-(6-((4-Methyl-1-piperazinyl)methyl)-1H-benzimidazol-1-yl)-3-((1R)-1-(2-(trifluoromethyl)phenyl)ethoxy)-2-thiophenecarboxamide	ZHJGWYRLJUCMRT-QGZVFWFLSA-N	C[C@H](C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=C(C=C4)CN5CCN(CC5)C)C(=O)N	pending				pending	
36	GSK-690693	GSK-690693	true		candidate_requires_manual_verification	GSK-690693	16725726	Gsk 690693	KGPGFQWBCSZGEL-ZDUSSCGKSA-N	CCN1C2=C(C(=NC=C2OC[C@H]3CCCNC3)C#CC(C)(C)O)N=C1C4=NON=C4N	pending				pending	
37	GW-2580	GW-2580	true		candidate_requires_manual_verification	GW-2580	11617559	GW-2580	MYQAUKPBNJWPIE-UHFFFAOYSA-N	COC1=CC=C(C=C1)COC2=C(C=C(C=C2)CC3=CN=C(N=C3N)N)OC	pending				pending	
38	HKI-272	HKI-272	true	Neratinib	candidate_requires_manual_verification	Neratinib	9915743	Neratinib	JWNPDZNEKVCWMY-VQHVLOKHSA-N	CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)/C=C/CN(C)C	pending				pending	
39	Imatinib	Imatinib	true		candidate_requires_manual_verification	Imatinib	5291	Imatinib	KTUFNOKKBVMGRW-UHFFFAOYSA-N	CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5	pending				pending	
40	INCB018424	INCB18424	false	Ruxolitinib	candidate_requires_manual_verification	Ruxolitinib	25126798	Ruxolitinib	HFNKQEVNSGCOJV-OAHLLOKOSA-N	C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3	pending_source_name_discrepancy				pending	Table 3 and Table 4 compound names differ; identity must be adjudicated
41	JNJ-28312141	JNJ-28312141	true		candidate_requires_manual_verification	JNJ-28312141	44551653	Jnj-28312141	MVPKLZHNOLVZAU-UHFFFAOYSA-N	CN(C)CC(=O)N1CCC(CC1)C2=CC(=C(C=C2)NC(=O)C3=NC=C(N3)C#N)C4=CCCCC4.Cl	pending				pending	
42	Ki-20227	Ki-20227	true		candidate_requires_manual_verification	Ki-20227	9869779	Ki-20227	SHPFDGWALWEPGS-UHFFFAOYSA-N	CC(C1=NC=CS1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)OC	pending				pending	
43	KW-2449	KW-2449	true		candidate_requires_manual_verification	KW-2449	11427553	Kw-2449	YYLKKYCXAOBSRM-JXMROGBWSA-N	C1CN(CCN1)C(=O)C2=CC=C(C=C2)/C=C/C3=NNC4=CC=CC=C43	pending				pending	
44	Lapatinib	Lapatinib	true		candidate_requires_manual_verification	Lapatinib	208908	Lapatinib	BCFGMOOMADDAQU-UHFFFAOYSA-N	CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl	pending				pending	
45	LY-317615	LY-317615	true	Enzastaurin	candidate_requires_manual_verification	Enzastaurin	176167	Enzastaurin	AXRCEOKUDYDWLF-UHFFFAOYSA-N	CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6CCN(CC6)CC7=CC=CC=N7	pending				pending	
46	LY-333531	LY-333531	true	Ruboxistaurin	candidate_requires_manual_verification	Ruboxistaurin	153999	Ruboxistaurin	ZCBUQCWBWNUWSU-SFHVURJKSA-N	CN(C)C[C@@H]1CCN2C=C(C3=CC=CC=C32)C4=C(C5=CN(CCO1)C6=CC=CC=C65)C(=O)NC4=O	pending				pending	
47	MLN-120B	MLN-120B	true		candidate_requires_manual_verification	MLN-120B	9929127	N-(6-chloro-7-methoxy-9H-beta-carbolin-8-yl)-2-methylnicotinamide	ZNOLRTPMNMPLHY-UHFFFAOYSA-N	CC1=C(C=CC=N1)C(=O)NC2=C3C(=CC(=C2OC)Cl)C4=C(N3)C=NC=C4	pending				pending	
48	MLN-518	MLN-518	true	Tandutinib	candidate_requires_manual_verification	Tandutinib	3038522	Tandutinib	UXXQOJXBIDBUAC-UHFFFAOYSA-N	CC(C)OC1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCCC5	pending				pending	
49	MLN-8054	MLN-8054	true		candidate_requires_manual_verification	MLN-8054	11712649	Mln8054	HHFBDROWDBDFBR-UHFFFAOYSA-N	C1C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)C(=N1)C4=C(C=CC=C4F)F)NC5=CC=C(C=C5)C(=O)O	pending				pending	
50	Nilotinib	Nilotinib	true		candidate_requires_manual_verification	Nilotinib	644241	Nilotinib	HHZIURLSWUIHRB-UHFFFAOYSA-N	CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5	pending				pending	
51	Pazopanib	Pazopanib	true		candidate_requires_manual_verification	Pazopanib	10113978	Pazopanib	CUIHSIWYWATEQL-UHFFFAOYSA-N	CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N	pending				pending	
52	PD-173955	PD-173955	true		candidate_requires_manual_verification	PD-173955	447077	PD173955	VAARYSWULJUGST-UHFFFAOYSA-N	CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC(=CC=C4)SC	pending				pending	
53	PHA-665752	PHA-665752	true		candidate_requires_manual_verification	PHA-665752	10461815	(3Z)-5-(((2,6-Dichlorophenyl)methyl)sulfonyl)-3-((3,5-dimethyl-4-(((2R)-2-(1-pyrrolidinylmethyl)-1-pyrrolidinyl)carbonyl)-1H-pyrrol-2-yl)methylene)-1,3-dihydro-2H-indol-2-one	OYONTEXKYJZFHA-SSHUPFPWSA-N	CC1=C(NC(=C1C(=O)N2CCC[C@@H]2CN3CCCC3)C)/C=C\4/C5=C(C=CC(=C5)S(=O)(=O)CC6=C(C=CC=C6Cl)Cl)NC4=O	pending				pending	
54	PI-103	PI-103	true		candidate_requires_manual_verification	PI-103	9884685	3-(4-(4-Morpholinyl)pyrido(3',2':4,5)furo(3,2-d)pyrimidin-2-yl)phenol	TUVCWJQQGGETHL-UHFFFAOYSA-N	C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O	pending				pending	
55	PKC-412	PKC-412	true	Midostaurin	candidate_requires_manual_verification	Midostaurin	9829523	Midostaurin	BMGQWWVMWDBQGC-IIFHNQTCSA-N	C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC	pending				pending	
56	PLX-4720	PLX-4720	true		candidate_requires_manual_verification	PLX-4720	24180719	Plx-4720	YZDJQTHVDDOVHR-UHFFFAOYSA-N	CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F	pending				pending	
57	PP-242	PP-242	true		candidate_requires_manual_verification	PP-242	135565635	Torkinib	MFAQYJIYDMLAIM-UHFFFAOYSA-N	CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(N3)C=CC(=C4)O)N	pending				pending	
58	PTK-787	PTK-787	true	Vatalanib	candidate_requires_manual_verification	Vatalanib	151194	Vatalanib	YCOYDOIWSSHVCK-UHFFFAOYSA-N	C1=CC=C2C(=C1)C(=NN=C2NC3=CC=C(C=C3)Cl)CC4=CC=NC=C4	pending				pending	
59	R406	R406	true	Tamatinib	candidate_requires_manual_verification	Tamatinib	11213558	Tamatinib	NHHQJBCNYHBUSI-UHFFFAOYSA-N	CC1(C(=O)NC2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)C	pending				pending	
60	R547	R547	true		candidate_requires_manual_verification	R547	6918852	(4-Amino-2-(1-methanesulfonylpiperidin-4-ylamino)pyrimidin-5-yl)(2,3-difluoro-6-methoxyphenyl)methanone	JRNJNYBQQYBCLE-UHFFFAOYSA-N	COC1=C(C(=C(C=C1)F)F)C(=O)C2=CN=C(N=C2N)NC3CCN(CC3)S(=O)(=O)C	pending				pending	
61	SB-203580	SB-203580	true		candidate_requires_manual_verification	SB-203580	176155	Sb-203580	CDMGBJANTYXAIV-UHFFFAOYSA-N	CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F	pending				pending	
62	SGX-523	SGX-523	true		candidate_requires_manual_verification	SGX-523	24779724	Sgx-523	BCZUAADEACICHN-UHFFFAOYSA-N	CN1C=C(C=N1)C2=NN3C(=NN=C3SC4=CC5=C(C=C4)N=CC=C5)C=C2	pending				pending	
63	SKI-606	SKI-606	true	Bosutinib	candidate_requires_manual_verification	Bosutinib	5328940	Bosutinib	UBPYILGKFZZVDX-UHFFFAOYSA-N	CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC	pending				pending	
64	Sorafenib	Sorafenib	true		candidate_requires_manual_verification	Sorafenib	216239	Sorafenib	MLDQJTXFUGDVEO-UHFFFAOYSA-N	CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F	pending				pending	
65	Staurosporine	Staurosporine	true		candidate_requires_manual_verification	Staurosporine	44259	Staurosporine	HKSZLNNOFSGOKW-FYTWVXJKSA-N	C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC	pending				pending	
66	SU-14813	SU-14813	true		candidate_requires_manual_verification	SU-14813	10138259	Su-14813	CTNPALGJUAXMMC-PMFHANACSA-N	CC1=C(NC(=C1C(=O)NC[C@@H](CN2CCOCC2)O)C)/C=C\3/C4=C(C=CC(=C4)F)NC3=O	pending				pending	
67	Sunitinib	Sunitinib	true		candidate_requires_manual_verification	Sunitinib	5329102	Sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C	pending				pending	
68	TAE-684	TAE-684	true		candidate_requires_manual_verification	TAE-684	16038120	5-Chloro-N2-(2-methoxy-4-(4-(4-methyl-1-piperazinyl)-1-piperidinyl)phenyl)-N4-(2-((1-methylethyl)sulfonyl)phenyl)-2,4-pyrimidinediamine	QQWUGDVOUVUTOY-UHFFFAOYSA-N	CC(C)S(=O)(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCC(CC4)N5CCN(CC5)C)OC	pending				pending	
69	TG-100-115	TG-100-115	true		candidate_requires_manual_verification	TG-100-115	10427712	TG-100115	UJIAQDJKSXQLIT-UHFFFAOYSA-N	C1=CC(=CC(=C1)O)C2=NC3=C(N=C(N=C3N=C2C4=CC(=CC=C4)O)N)N	pending				pending	
70	TG-101348	TG-101348	true		candidate_requires_manual_verification	TG-101348	16722836	Fedratinib	JOOXLOJCABQBSG-UHFFFAOYSA-N	CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)OCCN4CCCC4	pending				pending	
71	Vandetanib	Vandetanib	true		candidate_requires_manual_verification	Vandetanib	3081361	Vandetanib	UHTHHESEBZOYNR-UHFFFAOYSA-N	CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC	pending				pending	
72	VX-680/MK-0457	VX-680/MK-0457	true	Tozasertib	candidate_requires_manual_verification	Tozasertib	5494449	Tozasertib	GCIKSSRWRFVXBI-UHFFFAOYSA-N	CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C	pending				pending	
73	VX-745	VX-745	true		candidate_requires_manual_verification	VX-745	3038525	5-(2,6-Dichlorophenyl)-2-((2,4-difluorophenyl)thio)-6H-pyrimido(1,6-b)pyridazin-6-one	VEPKQEUBKLEPRA-UHFFFAOYSA-N	C1=CC(=C(C(=C1)Cl)C2=C3C=CC(=NN3C=NC2=O)SC4=C(C=C(C=C4)F)F)Cl	pending				pending	
