source_row	source_name	affinity_matrix_name	publication_doi	publication_structure_pdf_page	pubchem_cid	pubchem_inchikey	reviewer	review_method	decision	decision_reason	publication_connectivity_status	stereochemistry_status	salt_status	protomer_policy	model_parent_smiles	model_parent_inchikey	chembl_agreement	chembl_ids	independent_identity_evidence	qa_closure_status	qa_closure_basis	additional_external_manual_signoff_required	historical_secondary_qa_packet_disposition
16	BIRB-796	BIRB-796	10.1038/nbt.1990	12	156422	MVCOAUNKQVWQHZ-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1	MVCOAUNKQVWQHZ-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL103667	https://pubchem.ncbi.nlm.nih.gov/compound/156422;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL103667	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
17	BMS-345541	BMS-345541	10.1038/nbt.1990	12	9926054	MIDKPVLYXNLFGZ-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent_parent_counterion_not_drawn	no_unresolved_stereogenic_element	hydrochloride_counterion_removed_to_publication_parent	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1	PSPFQEBFYXJZEV-UHFFFAOYSA-N	no_exact_synonym_record		https://pubchem.ncbi.nlm.nih.gov/compound/9926054	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
18	BMS-387032/SNS-032	BMS-387032/SNS-032	10.1038/nbt.1990	12	3025986	OUSFTKFNBAZUKL-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1	OUSFTKFNBAZUKL-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL296468	https://pubchem.ncbi.nlm.nih.gov/compound/3025986;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL296468	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
19	BMS-540215	BMS-540215	10.1038/nbt.1990	12	11234052	WCWUXEGQKLTGDX-LLVKDONJSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1	WCWUXEGQKLTGDX-LLVKDONJSA-N	exact_stereo_parent	CHEMBL377300	https://pubchem.ncbi.nlm.nih.gov/compound/11234052;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL377300	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
20	CEP-701	CEP-701	10.1038/nbt.1990	12	126565	UIARLYUEJFELEN-LROUJFHJSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O	UIARLYUEJFELEN-LROUJFHJSA-N	exact_stereo_parent	CHEMBL603469	https://pubchem.ncbi.nlm.nih.gov/compound/126565;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL603469	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
21	CHIR-258/TKI-258	CHIR-258/TKI-258	10.1038/nbt.1990	12	135398510	PIQCTGMSNWUMAF-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1	PIQCTGMSNWUMAF-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL522892	https://pubchem.ncbi.nlm.nih.gov/compound/135398510;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL522892	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
22	CHIR-265/RAF-265	CHIR-265/RAF-265	10.1038/nbt.1990	12	11656518	YABJJWZLRMPFSI-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21	YABJJWZLRMPFSI-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL558752	https://pubchem.ncbi.nlm.nih.gov/compound/11656518;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL558752	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
23	CI-1033	CI-1033	10.1038/nbt.1990	13	156414	OMZCMEYTWSXEPZ-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1	OMZCMEYTWSXEPZ-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL31965	https://pubchem.ncbi.nlm.nih.gov/compound/156414;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL31965	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
24	CI-1040	CI-1040	10.1038/nbt.1990	13	6918454	GFMMXOIFOQCCGU-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl	GFMMXOIFOQCCGU-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL105442	https://pubchem.ncbi.nlm.nih.gov/compound/6918454;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL105442	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
25	CP-690550	CP-690550	10.1038/nbt.1990	13	9926791	UJLAWZDWDVHWOW-YPMHNXCESA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12	UJLAWZDWDVHWOW-YPMHNXCESA-N	exact_stereo_parent	CHEMBL221959	https://pubchem.ncbi.nlm.nih.gov/compound/9926791;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL221959	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
26	Crizotinib	Crizotinib	10.1038/nbt.1990	13	11626560	KTEIFNKAUNYNJU-GFCCVEGCSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl	KTEIFNKAUNYNJU-GFCCVEGCSA-N	exact_stereo_parent	CHEMBL601719	https://pubchem.ncbi.nlm.nih.gov/compound/11626560;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL601719	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
27	Dasatinib	Dasatinib	10.1038/nbt.1990	13	3062316	ZBNZXTGUTAYRHI-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1	ZBNZXTGUTAYRHI-UHFFFAOYSA-N	no_exact_synonym_record		https://pubchem.ncbi.nlm.nih.gov/compound/3062316	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
28	Erlotinib	Erlotinib	10.1038/nbt.1990	13	176870	AAKJLRGGTJKAMG-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	AAKJLRGGTJKAMG-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL553	https://pubchem.ncbi.nlm.nih.gov/compound/176870;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL553	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
29	EXEL-2880/GSK-1363089	EXEL-2880/GSK-1363089	10.1038/nbt.1990	13	42642645	CXQHYVUVSFXTMY-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1	CXQHYVUVSFXTMY-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL1230609	https://pubchem.ncbi.nlm.nih.gov/compound/42642645;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1230609	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
30	Flavopiridol	Flavopiridol	10.1038/nbt.1990	14	5287969	BIIVYFLTOXDAOV-YVEFUNNKSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1	BIIVYFLTOXDAOV-YVEFUNNKSA-N	exact_stereo_parent	CHEMBL428690	https://pubchem.ncbi.nlm.nih.gov/compound/5287969;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL428690	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
31	GDC-0879	GDC-0879	10.1038/nbt.1990	14	11717001	DEZZLWQELQORIU-RELWKKBWSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	OCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1	DEZZLWQELQORIU-RELWKKBWSA-N	exact_stereo_parent	CHEMBL525191	https://pubchem.ncbi.nlm.nih.gov/compound/11717001;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL525191	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
32	GDC-0941	GDC-0941	10.1038/nbt.1990	14	17755052	LHNIIDJUOCFXAP-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1	LHNIIDJUOCFXAP-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL521851	https://pubchem.ncbi.nlm.nih.gov/compound/17755052;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL521851	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
33	Gefitinib	Gefitinib	10.1038/nbt.1990	14	123631	XGALLCVXEZPNRQ-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1	XGALLCVXEZPNRQ-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL939	https://pubchem.ncbi.nlm.nih.gov/compound/123631;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL939	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
